model_name,dis_perc_gs,dis_perc_ge,dis_perc_gm,dis_perc_ss,dis_ws_rt_gs,dis_ws_rt_ge,dis_ws_rt_se,dis_ks_rt_gs,dis_ks_rt_se,dis_ssd_mean,total_distance
10p_v1,0.0278160896081319,0.0127553248662617,0.0257809375308764,0.0257078886381663,0.0474423820026465,0.1934472032111506,0.1562567097007449,0.1672796659881542,0.346993406477254,2.624969556924732,3.6284491649481194
8p_v2,0.0442982008698175,0.0096121555567487,0.0385748191623813,0.0202400446439791,0.0358657121241247,0.1780716945612502,0.0639233514399867,0.1079868975602733,0.2231915129380117,3.136997390502775,3.858761779359349
8p_v1,0.0421506189362303,0.0152085458088547,0.0315045961730157,0.0149009067063954,0.0573186221063858,0.2346059271730199,0.0982730146010802,0.1846141398400497,0.3051737901871805,1.768924370544248,2.752674532076461
5p_v1,0.0233720486292929,0.0149245168248223,0.0353494396840491,0.017917290990648,0.0247003456603855,0.1398992573178934,0.0598139581821175,0.082719605055648,0.1844564595857122,2.5460490319681117,3.1292019538986806
6p_v4,0.0381583026819456,0.0086520213886689,0.0356284464069557,0.0202189504883363,0.0380864096987569,0.1268474627478655,0.0672561962499705,0.1417725461515089,0.2277948608759978,2.549112563192013,3.25352775988202
7p_v1,0.0510626491513031,0.0180812052919949,0.0348047166195144,0.0263660955682743,0.0369922333441814,0.2049114988402528,0.0765583099369583,0.1276524012814427,0.2498544718061071,3.3508730498313057,4.177156631671335
7p_v2,0.030737363338708,0.0132021794929251,0.0380275600866038,0.0321967349421692,0.0304401772355748,0.1500847688193644,0.0883069609874955,0.0948319660588424,0.2182081074951136,3.6262927095376782,4.322328527994475
6p_v3,0.0324148266682269,0.0133523833263865,0.0355844329037239,0.0205639889382901,0.050107274542463,0.1813045994101814,0.0990748324767599,0.1318982089326583,0.2555510769036433,2.9141073604597483,3.7339589845620815
6p_v2,0.0344222686773372,0.0132876882464555,0.0411628778300417,0.0185518819355984,0.0360326568256228,0.1652479105493658,0.0987706362443055,0.1199840970415387,0.2359791659850996,2.8150422960774444,3.57848147941281
6p_v1,0.037157694833698,0.0113137287513841,0.0299540745187587,0.0268448029594999,0.0306722705396359,0.1280633230144059,0.0499230856301038,0.1079770729328124,0.2014114236426011,2.726426238421849,3.3497437152447493
