model_name,dis_perc_gs,dis_perc_ge,dis_perc_gm,dis_perc_ss,dis_ws_rt_gs,dis_ws_rt_ge,dis_ws_rt_se,dis_ks_rt_gs,dis_ks_rt_se,dis_ssd_mean,total_distance
10p_v1,0.0550235133341881,0.0280904713092664,0.0462689753984394,0.0763278323694959,0.0585506218760988,0.3155175491022406,0.1405836264739323,0.210629469236815,0.4115640115778324,3.724504231670043,5.067060302348353
8p_v1,0.0695514192212252,0.0293852987829143,0.0504054229855995,0.0746875456993935,0.0690613175206546,0.3555398705451281,0.1096722463896681,0.2375553647343302,0.4186658393011421,2.9578247639465483,4.372349089126605
8p_v2,0.0689065793522955,0.0267314268329932,0.0546637778188133,0.0744656469286817,0.0511903764647751,0.3122932401053131,0.0854265337199703,0.1753217601270451,0.3708455476908636,4.233288086723249,5.453132975764001
5p_v1,0.0582149290063571,0.0275704462577873,0.052435802481725,0.0742794589045723,0.0467799307684248,0.2731285903576778,0.0862794461102288,0.1694382932780564,0.3556918843532785,3.6774992222446414,4.821318003762751
7p_v2,0.0608283598801683,0.0261793692524184,0.0543095852329492,0.0769846889476788,0.0489920329854129,0.2800067938910257,0.0981491620133988,0.1735286192315205,0.3619054245332843,4.558715357775558,5.739599393743416
7p_v1,0.0751231368665376,0.0306818270870455,0.0521135935232788,0.0749152973618924,0.0518441196046704,0.3508031131833624,0.0929355932994593,0.187310780659914,0.3827059374446052,4.293141612533313,5.591575011564078
6p_v4,0.0663971036073507,0.0275323528464393,0.052353183016375,0.0772339564476447,0.0542757033506733,0.2726495466751725,0.0915875016862455,0.1962058251462461,0.3789463452281043,3.592881699633158,4.81006321763741
6p_v1,0.0664326264695199,0.0283373938401494,0.0493526687653308,0.0771331225682664,0.0502005854835867,0.2820909236991591,0.0785298578061831,0.1835032586770878,0.3664005975659761,3.710894569795001,4.892875604670261
6p_v3,0.0637942606963293,0.0275717890115488,0.0526334792955327,0.0738773631239967,0.0564585141566725,0.3074349480600903,0.1110137022295547,0.1816762274611878,0.3825017618696663,4.007805001792044,5.264767047696623
6p_v2,0.0650078012386274,0.0273722756658958,0.0566224633284624,0.073697021798037,0.0525467742620099,0.2985616563586202,0.104410483388052,0.1877147606112165,0.3727376619499629,3.881911120388043,5.120582018988928
