,mean,std,5%,50%,95%
q_d_n,0.3034546636044979,0.17834586675113223,0.08472408168017864,0.30164021253585815,0.5797541260719298
q_d,0.7454308569431305,0.09729634442393004,0.5990198910236358,0.7496722638607025,0.8865477949380874
q_s_n,0.6036418914794922,0.27337897352283835,0.1453448385000229,0.6716811656951904,0.8963910937309264
q_s,0.6396456718444824,0.08993652888453442,0.533894494175911,0.6282182931900024,0.769335576891899
inv_temp,88.33992996215821,7.863455383690591,75.59380950927735,89.50237655639648,97.26089706420898
cost_stop_error,0.3692900280991353,0.12972691198341485,0.19102792233571414,0.3482348366207948,0.5226764522900917
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001
cost_go_error,1.0,0.0,1.0,1.0,1.0
cost_go_missing,1.0,0.0,1.0,1.0,1.0
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666
