model_name,dis_perc_gs,dis_perc_ge,dis_perc_gm,dis_perc_ss,dis_ws_rt_gs,dis_ws_rt_ge,dis_ws_rt_se,dis_ks_rt_gs,dis_ks_rt_se,dis_ssd_mean,total_distance
ppc_metrics_7p_v4,0.04131830895013572,0.015868862003362873,0.03594847869349374,0.03678560266877669,0.028145697323832312,0.12403467109672052,0.05685287823642545,0.09795992141643352,0.20370050025345462,3.610280331688486,4.250895252331121
ppc_metrics_6p_v1,0.06681982673167579,0.022343565585726817,0.050387336145439034,0.039595098220868,0.08598868966782881,0.1870733877389299,0.13844526149244496,0.2344091043375069,0.34993441190829183,4.982315941486121,6.1573126233148345
ppc_metrics_6p_v2,0.05225998277834255,0.01663962121840527,0.047031503311007125,0.0352777082463336,0.05489698813357464,0.15527832648172807,0.07735768573871053,0.18035378253666673,0.3157069462205243,4.6984204182926295,5.633222962957924
ppc_metrics_6p_v3,0.05225998277834255,0.01663962121840527,0.047031503311007125,0.0352777082463336,0.05489698813357464,0.15527832648172807,0.07735768573871053,0.18035378253666673,0.3157069462205243,4.6984204182926295,5.633222962957924
ppc_metrics_7p_v2,0.05369236289404925,0.014380586653237598,0.042393718736320515,0.03341703690372339,0.035709047693370466,0.14729028066335265,0.07535380916999121,0.12132241205273396,0.23746812075158807,4.904404640216261,5.665432015734629
ppc_metrics_6p_v7,0.02062701709668798,0.017831091027397456,0.03231343201626021,0.016737745645566324,0.0315701972009143,0.18265756935575905,0.066875068333561,0.09604545274035996,0.20836892928036288,2.0799643025572636,2.7529908052541336
ppc_metrics_6p_v6,0.04069835752303291,0.007979376807638154,0.038886497436517856,0.021090588077203484,0.02908064125226001,0.14341329611511838,0.05395567835949134,0.09862689234163062,0.18491271065968937,3.1447783561357965,3.763422394708379
ppc_metrics_7p_v3,0.05405512157086775,0.02048503158944462,0.039187073178552384,0.042907085096091216,0.060046072560940786,0.17065601945356448,0.11718899676542023,0.19880573341296043,0.33614066144654203,4.066310563379943,5.105782358454328
ppc_metrics_7p_v1,0.03955193183226699,0.013993082889137984,0.040735563362669244,0.026807283218256935,0.029528464222114494,0.1504741639369597,0.0504681708274207,0.09630343492326478,0.19757759399148203,3.7410835253088237,4.386523214512398
ppc_metrics_6p_v4,0.050558622932782425,0.01644934440243849,0.0451369936437429,0.025445098779785996,0.07193220708163185,0.2149619699612306,0.10423877730199294,0.18106941350803843,0.2896844632692809,2.6504729591132565,3.649949849994182
ppc_metrics_6p_v5,0.045431368268882076,0.0197154159216549,0.039873026683776285,0.03015773697603176,0.05163342911705282,0.12278025746081725,0.06484063082491627,0.19303262698953613,0.243372191735703,3.8190356197110455,4.629872303689416
ppc_metrics_5p_v2,0.03518749542704049,0.008731383274653753,0.03772150527720102,0.017420780785659604,0.02916325284022729,0.13818323217884337,0.06234605267097084,0.11474462607293727,0.21008616737294958,2.350705681595275,3.004290177495759
ppc_metrics_5p_v3,0.023372048629292885,0.01492451682482228,0.03534943968404909,0.017917290990647955,0.024700345660385547,0.13989925731789338,0.0598139581821175,0.08271960505564806,0.1844564595857122,2.5460490319681113,3.1292019538986806
ppc_metrics_5p_v1,0.02445085503846624,0.014765303920463038,0.036285099785889265,0.021760551221177277,0.025337484203000044,0.13679415666501307,0.06312371471117423,0.0883331935545014,0.1962639954139638,2.9548155327371415,3.5619298872507903
ppc_metrics_5p_v4,0.01924743040763775,0.02804938255681303,0.034482650357310386,0.02294990056334853,0.03055680611189381,0.16177807286921692,0.09736884401613145,0.08746137306415641,0.2176157119721857,3.1870220055383247,3.886532177457019
ppc_metrics_5p_v5,0.02453578057172063,0.012831900666121934,0.03546706854656129,0.018638989671644644,0.02885725123995775,0.1689006574707155,0.06336048063030485,0.0839208068075865,0.19415198780429235,2.5126004394213743,3.1432653628302805
ppc_metrics_5p_v7,0.06531475756503599,0.028429169190410608,0.03963896132799378,0.03477558475590495,0.03591531121404006,0.1452756562387401,0.09483499482190186,0.1184476751066985,0.22627458901741188,3.7157933483925842,4.504700047630722
ppc_metrics_5p_v6,0.015249135766156288,0.02670347029616603,0.03591733298103335,0.02175981203092052,0.03596665875956634,0.16353130606214314,0.07577435337924147,0.10017271660766508,0.21357351953405943,3.0839220828109397,3.772570388227892
ppc_metrics_6p_v10,0.017785908123895442,0.021087557517256782,0.034650565144964854,0.019983716805786127,0.027628579411033,0.15654434588124402,0.06341032936002904,0.08202174658809899,0.18855244571739663,2.7913402460849954,3.4030054406347006
ppc_metrics_6p_v11,0.031440403603385306,0.010519228207037356,0.03454499074768695,0.019872846048222707,0.03799021451556834,0.1717406047623917,0.08335912315982502,0.10616150319702673,0.2317076480757377,2.7306599622888474,3.45799652460573
ppc_metrics_6p_v12,0.03207581617463916,0.016754230555106487,0.03604901583214056,0.027579565855665983,0.08056786463598059,0.22943492055923778,0.19305544636259467,0.1989507361162706,0.3717925211188566,3.341161210314334,4.527421327524826
ppc_metrics_6p_v8,0.03127385656006309,0.014206811934936184,0.03841715563559196,0.02066509602432774,0.05257696722507045,0.18007119211781553,0.07210230560214347,0.13586782570269695,0.2369582175301896,3.033335556241916,3.8154749845747515
ppc_metrics_6p_v9,0.03294796757625504,0.011324761023388906,0.037540420054745706,0.020774097933060603,0.028254672747722642,0.14995975833702274,0.0643042511833179,0.09221304259070587,0.19094663546291388,3.04074829863691,3.669013905546043
