case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error
38,0.17494498819123017,0.3636227,1.0,0.8299728468641985,0.90851027,1.0,0.6071914424753552,0.5458877,1.0,0.8423370773643797,0.90536326,1.0,44.44376695686278,67.45253,0.0,1.9351960116510243,1.5100656,1.0
112,0.08934858915636745,0.13981782,1.0,0.6800350012621217,0.69275635,1.0,0.7102014322029588,0.5776273,1.0,0.5484445283306951,0.6240153,1.0,67.92887459200763,78.35806,1.0,1.7913445080132882,1.4967899,1.0
33,0.3690839160393259,0.2944422,1.0,0.530154480300515,0.5258117,1.0,0.6228320143863183,0.7543966,1.0,0.6026288425436531,0.7504518,1.0,62.55686219359208,64.14986,1.0,1.4619239940422017,1.4899433,1.0
188,0.9299460741175214,0.93784666,1.0,0.5677470820448864,0.6903851,1.0,0.06890885858214013,0.066904254,1.0,0.9058858138067197,0.77950865,0.0,56.8639546968381,53.595795,1.0,1.5638405686617212,1.4796964,1.0
71,0.6188478147004318,0.64549685,1.0,0.6764429171133786,0.70450103,1.0,0.16001961516384222,0.11170639,1.0,0.7303394286715339,0.7379501,1.0,44.430433900329895,45.46484,1.0,1.403522492812521,1.4463032,1.0
27,0.30455069608081276,0.5548959,1.0,0.5217066874982207,0.516219,1.0,0.4922405623007088,0.54041684,1.0,0.5149453623771942,0.5577933,0.0,44.618400625681225,66.69164,1.0,1.566492036821986,1.4450021,1.0
153,0.6097561187337588,0.82042754,1.0,0.5801584605122803,0.64764684,1.0,0.734339156433955,0.58645153,0.0,0.84500915062219,0.8646134,1.0,92.84562502568652,69.114685,1.0,0.9894101527846225,1.4007251,0.0
146,0.4588597288087848,0.3311414,1.0,0.9579372447286241,0.8869749,1.0,0.03469864156295088,0.048989877,1.0,0.9097030915134177,0.9218079,1.0,28.85636374529464,45.330883,1.0,1.8367849177980764,1.3963778,1.0
139,0.1765228852623545,0.3984401,1.0,0.9444532830027472,0.93770826,1.0,0.6477781168675697,0.69543433,1.0,0.9507017249126549,0.94337,1.0,63.52851396977029,70.25125,1.0,1.410975220280605,1.3835862,1.0
187,0.3991995909242244,0.5143853,1.0,0.6294301159240023,0.64562905,1.0,0.7723101332005411,0.6512462,1.0,0.8655336536954249,0.7898179,1.0,92.91290687337919,69.069695,1.0,0.9102740355036247,1.3622426,0.0
106,0.5275512680296174,0.23831974,1.0,0.9717108999702839,0.86949646,0.0,0.18728772443885555,0.2038129,1.0,0.9080130555323096,0.9723984,1.0,68.53627987155578,80.68947,1.0,1.4836989874417164,1.3465105,1.0
135,0.4335641585807125,0.46339056,1.0,0.6746556842606721,0.6544327,1.0,0.9142004250562142,0.75736254,1.0,0.739822919732773,0.70126414,1.0,51.461289973013805,35.04966,1.0,0.9342444397646071,1.311728,1.0
175,0.0037301833075871205,0.12414015,1.0,0.7837255193816797,0.80995667,1.0,0.4511172553108874,0.32015824,1.0,0.6925479558242691,0.7802411,1.0,99.52755530392926,68.023674,0.0,0.8093692866857481,1.1349773,0.0
44,0.18357348302257415,0.15432328,1.0,0.8972148513915718,0.85277075,1.0,0.23603697223151077,0.38692698,0.0,0.751295275151133,0.8121871,1.0,63.761306467243074,48.745186,1.0,0.831937637531198,1.1214947,1.0
24,0.9741661178297671,0.9580199,1.0,0.646570485633921,0.6624927,1.0,0.12301518490502483,0.6743241,1.0,0.5458697474440589,0.57865536,1.0,67.33352869236846,59.20136,1.0,0.8828043913432807,1.0535872,1.0
5,0.01877832294175097,0.43252483,0.0,0.5124325435159358,0.5600232,1.0,0.8841123805880724,0.5966381,1.0,0.6151229498630463,0.62488216,1.0,55.769561082453805,12.848291,0.0,0.5210071490221755,1.0431434,1.0
51,0.6489578910132815,0.43569386,1.0,0.6615772451773396,0.5906268,1.0,0.855384452526222,0.78935987,1.0,0.8949033782098079,0.8775013,1.0,3.914904288767008,8.791813,0.0,1.6935609864604286,0.9981878,1.0
63,0.47491716873404977,0.5065742,1.0,0.6992732770641317,0.693133,1.0,0.39800098916971716,0.6917559,1.0,0.5598155809810816,0.6259454,1.0,84.72798107753663,73.04799,1.0,0.9678293206495191,0.99382555,1.0
174,0.16953589046178352,0.18462025,1.0,0.8319037901413788,0.8751137,1.0,0.8077915347598634,0.66868764,1.0,0.6559368124982926,0.6804801,1.0,83.34128863218604,65.40152,1.0,0.7998070637661836,0.9789368,1.0
113,0.6691528308662381,0.8954662,0.0,0.5551638098645344,0.64373416,1.0,0.50915660044152,0.48220772,1.0,0.6277084690768859,0.66071993,1.0,42.094870772826745,33.860973,1.0,0.7548112512347868,0.9675197,1.0
182,0.3190114981306954,0.13226028,1.0,0.9850435271241229,0.8317831,0.0,0.05802062781642314,0.44984785,1.0,0.627545568736138,0.6548951,1.0,98.61753931093325,83.34204,1.0,0.7249766664794318,0.92337465,0.0
137,0.36120926190104097,0.3183797,1.0,0.939985107337957,0.8800306,1.0,0.5545175727723446,0.5401112,1.0,0.8476969659084488,0.927558,0.0,97.67999301055539,79.397675,1.0,0.7305001302678603,0.914194,1.0
78,0.6385612047419644,0.26104745,0.0,0.9450960997683069,0.90753967,1.0,0.6075515846677535,0.7527679,1.0,0.6565382289249935,0.74572265,1.0,80.20113457236742,64.75039,1.0,0.611965524618233,0.8614293,1.0
82,0.33159711424465155,0.25723362,1.0,0.9912828103074831,0.98923314,1.0,0.9959101425338409,0.6419685,0.0,0.8067853433063379,0.5963123,1.0,48.218646256533795,60.874016,1.0,0.9512955336149859,0.85268223,1.0
100,0.8824130417910581,0.67492235,1.0,0.6419659335812211,0.61818326,1.0,0.42092831634355676,0.4249586,1.0,0.7862518862881118,0.7583673,1.0,22.947624298588387,23.012161,1.0,0.7121669453270023,0.8163711,1.0
109,0.40561368390038965,0.32723907,1.0,0.6293173785042017,0.6255037,1.0,0.2497752418469964,0.61322314,1.0,0.6351458958243845,0.65518785,1.0,14.936376517994528,14.809707,1.0,0.484949295749278,0.80047303,1.0
189,0.7028296786297074,0.71410835,1.0,0.6751986643244723,0.6955267,1.0,0.15549470373551155,0.18803363,1.0,0.8552833973479644,0.88735974,1.0,34.534775358968375,57.695915,0.0,1.22525965803458,0.7765399,0.0
