order_id,go_run_length,fitted_hazard,q_param,beta_param
order_0,1,0.06994731363527806,0.9300526863647219,1.6249863039886159
order_0,2,0.14027930584942438,0.9300526863647219,1.6249863039886159
order_0,3,0.18827271180962535,0.9300526863647219,1.6249863039886159
order_0,4,0.22710186427549717,0.9300526863647219,1.6249863039886159
order_0,5,0.26030422216484306,0.9300526863647219,1.6249863039886159
order_0,6,0.28955214714660416,0.9300526863647219,1.6249863039886159
order_0,7,0.3158080914399337,0.9300526863647219,1.6249863039886159
order_0,8,0.3396909982607855,0.9300526863647219,1.6249863039886159
order_0,9,0.36162888593667786,0.9300526863647219,1.6249863039886159
order_0,10,0.3819333984165264,0.9300526863647219,1.6249863039886159
order_0,11,0.4008403747369512,0.9300526863647219,1.6249863039886159
order_0,12,0.4185337276690262,0.9300526863647219,1.6249863039886159
order_0,13,0.4351603666942643,0.9300526863647219,1.6249863039886159
order_0,14,0.4508399773438878,0.9300526863647219,1.6249863039886159
order_0,15,0.46567168177938667,0.9300526863647219,1.6249863039886159
order_0,16,0.47973872272984597,0.9300526863647219,1.6249863039886159
order_0,17,0.49311184752729564,0.9300526863647219,1.6249863039886159
order_0,18,0.5058518101190883,0.9300526863647219,1.6249863039886159
order_0,19,0.518011258304528,0.9300526863647219,1.6249863039886159
order_0,20,0.5296361823532942,0.9300526863647219,1.6249863039886159
order_1,1,0.11816033457501607,0.8818396654249839,1.3083686975366489
order_1,2,0.16945801062412125,0.8818396654249839,1.3083686975366489
order_1,3,0.19581524590870847,0.8818396654249839,1.3083686975366489
order_1,4,0.2148836800990891,0.8818396654249839,1.3083686975366489
order_1,5,0.23009874129577546,0.8818396654249839,1.3083686975366489
order_1,6,0.24287434674634056,0.8818396654249839,1.3083686975366489
order_1,7,0.2539471031383208,0.8818396654249839,1.3083686975366489
order_1,8,0.2637547179468446,0.8818396654249839,1.3083686975366489
order_1,9,0.2725805738637008,0.8818396654249839,1.3083686975366489
order_1,10,0.280619643870579,0.8818396654249839,1.3083686975366489
order_1,11,0.28801232593103776,0.8818396654249839,1.3083686975366489
order_1,12,0.29486337051423595,0.8818396654249839,1.3083686975366489
order_1,13,0.30125318717116845,0.8818396654249839,1.3083686975366489
order_1,14,0.30724495851288736,0.8818396654249839,1.3083686975366489
order_1,15,0.3128893090375898,0.8818396654249839,1.3083686975366489
order_1,16,0.3182274783206013,0.8818396654249839,1.3083686975366489
order_1,17,0.3232935422969113,0.8818396654249839,1.3083686975366489
order_1,18,0.3281160079675953,0.8818396654249839,1.3083686975366489
order_1,19,0.3327189835860691,0.8818396654249839,1.3083686975366489
order_1,20,0.33712305391469677,0.8818396654249839,1.3083686975366489
order_2,1,0.0012444407067417895,0.9987555592932582,4.176812876441758
order_2,2,0.021051197009704925,0.9987555592932582,4.176812876441758
order_2,3,0.09513188106884474,0.9987555592932582,4.176812876441758
order_2,4,0.24786052333016295,0.9987555592932582,4.176812876441758
order_2,5,0.4658796088171846,0.9987555592932582,4.176812876441758
order_2,6,0.6929874479073523,0.9987555592932582,4.176812876441758
order_2,7,0.8649669250458757,0.9987555592932582,4.176812876441758
order_2,8,0.9571180318804953,0.9987555592932582,4.176812876441758
order_2,9,0.9907372106334201,0.9987555592932582,4.176812876441758
order_2,10,0.9987197314923192,0.9987555592932582,4.176812876441758
order_2,11,0.9998936220765227,0.9987555592932582,4.176812876441758
order_2,12,0.9999950136711516,0.9987555592932582,4.176812876441758
order_2,13,0.9999998764033721,0.9987555592932582,4.176812876441758
order_2,14,0.9999999984829159,0.9987555592932582,4.176812876441758
order_2,15,0.9999999999913729,0.9987555592932582,4.176812876441758
order_2,16,0.9999999999999788,0.9987555592932582,4.176812876441758
order_2,17,1.0,0.9987555592932582,4.176812876441758
order_2,18,1.0,0.9987555592932582,4.176812876441758
order_2,19,1.0,0.9987555592932582,4.176812876441758
order_2,20,1.0,0.9987555592932582,4.176812876441758
order_3,1,0.06515028918683463,0.9348497108131654,1.6945430952096594
order_3,2,0.13988424387645992,0.9348497108131654,1.6945430952096594
order_3,3,0.1937964242729281,0.9348497108131654,1.6945430952096594
order_3,4,0.2383897950264473,0.9348497108131654,1.6945430952096594
order_3,5,0.2770008541599309,0.9348497108131654,1.6945430952096594
order_3,6,0.31127196698950477,0.9348497108131654,1.6945430952096594
order_3,7,0.3421779982526616,0.9348497108131654,1.6945430952096594
order_3,8,0.37036211253763895,0.9348497108131654,1.6945430952096594
order_3,9,0.39627894726122237,0.9348497108131654,1.6945430952096594
order_3,10,0.42026596039790487,0.9348497108131654,1.6945430952096594
order_3,11,0.44258293453835484,0.9348497108131654,1.6945430952096594
order_3,12,0.46343559262516254,0.9348497108131654,1.6945430952096594
order_3,13,0.48299056763758863,0.9348497108131654,1.6945430952096594
order_3,14,0.5013853421121911,0.9348497108131654,1.6945430952096594
order_3,15,0.5187351011525868,0.9348497108131654,1.6945430952096594
order_3,16,0.5351376073492236,0.9348497108131654,1.6945430952096594
order_3,17,0.5506767611630251,0.9348497108131654,1.6945430952096594
order_3,18,0.5654252604855656,0.9348497108131654,1.6945430952096594
order_3,19,0.5794466263878155,0.9348497108131654,1.6945430952096594
order_3,20,0.5927967725961809,0.9348497108131654,1.6945430952096594
order_4,1,0.05799478246385914,0.9420052175361409,1.7406832056440478
order_4,2,0.13057011816285113,0.9420052175361409,1.7406832056440478
order_4,3,0.18514181997645607,0.9420052175361409,1.7406832056440478
order_4,4,0.23114597167531015,0.9420052175361409,1.7406832056440478
order_4,5,0.2714618283392436,0.9420052175361409,1.7406832056440478
