trial,mean_rt,sem_rt,valid_subjects
1,678.0176211453745,3.217787351242269,4767
2,443.84855614973264,1.8856228863099607,4675
3,543.9048560135517,2.6196173505122236,3542
4,501.4794837855725,2.5228374273293994,3022
5,438.13242630385486,1.7218239201065113,4410
6,520.5095115681233,2.3584145550205373,3890
7,483.1104432757325,2.165820862380161,3993
8,460.4367938605841,1.9713714327604615,4691
9,469.9896193771626,2.199195864019291,4335
10,495.6167758846658,2.476658876962129,3815
11,511.17377830750894,2.3916189006602924,4195
12,517.9258668792347,2.1477699966724515,5018
13,471.27343929970056,2.1755162284536746,4341
14,494.5276262746028,2.3856368898099047,4217
15,521.3955128205129,2.369064695929971,4680
16,516.2144626052501,2.502770560736464,4038
17,551.8833121558662,2.3381927737413606,4722
18,525.4168396770473,2.4115331622613585,4335
19,514.166501731816,2.4342112104041025,4042
20,502.6862326574173,2.572230618303349,3748
21,529.1895863951291,2.1994217968733505,4763
22,510.3495814869522,2.5073863292055862,4062
23,509.4469336954062,2.3666276469110654,4419
24,497.64886765011425,2.2531723944851656,4813
25,485.4342068188222,2.632299832896706,3549
26,506.01616915422886,2.393434398658481,4824
27,510.141458639256,2.7138986454940026,4086
28,555.9627627627627,2.412748252483157,4995
29,493.5789604575976,2.3419723944118447,4021
30,547.3529133112269,2.6642324076485093,4222
31,537.5286436394272,2.4385591873853154,4748
32,532.3500742206828,2.5515564044336942,4042
33,543.2253897550112,2.5673841448435586,4490
34,501.182720232333,2.4280595957323086,4132
35,539.9246370623399,2.5538939259479587,4684
36,537.6614191729324,2.645041372934397,4256
37,555.3600495765338,2.43720630657039,4841
38,566.4919550363677,2.6262953867555217,4537
39,548.5432900432901,2.6292389989685545,4158
40,577.0397489539749,2.5070876792582237,4780
41,543.8440748440748,2.431001489798034,4810
42,554.3992822966508,2.7405730270052064,4180
43,558.8144007155635,2.608114697473257,4472
44,571.812128922816,2.5414209310785765,4716
45,556.3429602888086,2.5171403783675665,4709
46,592.5642727821364,2.5159540203071846,4971
47,577.4266990291262,2.6425512476167192,4120
48,582.7737614288752,2.6430013543067186,4703
49,582.2952420527737,2.559448399110639,4813
50,572.2354503743057,2.738725983839843,4141
51,563.1369863013699,2.6230182610796438,4307
52,580.0513968863297,2.6448931007805525,4689
53,584.3012748825766,2.646847701823229,4471
54,566.1777986829727,2.6767624192975177,4252
55,574.3489596390073,2.8614467136067443,3989
56,560.7868770348109,2.7518067615675608,3993
57,585.9337706305544,2.6068512459206596,4726
58,573.8101954463026,2.4734735903739087,4963
59,566.8985474353154,2.6597673638151753,4406
60,552.4189318073438,2.8159332789052547,4194
61,580.3501394550526,2.637378637878231,4661
62,570.9852874603894,2.713771432929185,4418
63,562.4380520951303,2.6999094643526753,4415
64,582.0325131810193,2.640023331392267,4552
65,568.308933848602,2.7649591024099713,4399
66,542.4174630755864,2.5579997686058378,4604
67,552.2072091994693,2.7587384751346424,4522
68,542.9995494480739,2.6700931191067343,4439
69,548.3812967581048,2.746890524441231,4010
70,585.3007534107106,2.7116140127316983,4911
71,534.4724295190713,2.490217560198742,4824
72,536.5782654127481,2.628508938893795,4785
73,527.1676557863501,2.694018257090007,4718
74,530.37459772581,2.6952981765385395,4661
75,539.0381161007667,2.846842902049771,4565
76,513.5453699395067,2.748507429917833,4298
77,569.4476557482337,2.7980425447710635,4671
78,585.0629711751664,2.8808111994039263,4510
79,564.5649800545874,2.6715007523746737,4763
80,593.3373313343328,2.680890366888141,4669
81,569.9769707705934,2.716137011330172,4516
82,572.8769513314968,2.721406240025091,4356
83,602.8319002579535,2.846281264654417,4652
84,579.8316475612497,2.7931404753536664,4449
85,571.6081974438079,2.7004949756649426,4538
86,584.101207464325,2.6800662847859127,4555
87,574.977758203039,2.7148485578416275,4541
88,569.0907865168539,2.8083020043381417,4450
89,547.5829246544806,2.7800756647629856,4486
90,543.101822600243,2.8795924564217694,4115
91,542.1482517482517,2.8661115518681193,4290
92,552.4294165646675,2.7399580053083112,4902
93,526.7524920982252,2.8739002197371257,4113
94,577.5142334282228,2.75137748265503,4918
95,592.6246035342093,2.9080146148863752,4414
96,591.3011996572408,2.781843801502942,4668
97,578.8173506704592,2.787269536519328,4922
98,543.7077953132473,2.7979067412452454,4182
99,565.8330373001776,2.8789458288781575,4504
100,591.4449339207049,2.9163707044683895,4313
101,577.5066149635037,2.8183997515411203,4384
102,575.1248591390579,2.9079444027673387,4437
103,563.783014571949,2.837140760189318,4392
104,595.2925855912623,2.7265308592092588,4761
105,583.1788526434195,2.8266286438355155,4445
106,581.2824464242716,2.9126506333000637,4153
107,581.6375302663438,2.9169276003016207,4130
108,591.4958053691275,2.7934831549048287,4768
109,576.7147215865751,2.9261739045759056,3933
110,597.2289598618904,2.8149089227717954,4634
111,557.8556611927398,2.812325237277085,4628
112,563.5591227673525,2.988801643110775,4423
113,546.1874453193351,2.8378088378276796,4572
114,554.2613995485327,2.9431867432362218,4430
115,531.9424912689174,2.793420117239492,4295
