subject_id,eta,rho,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INVWP33RGJG,0.009602109,0.8330887,0.8727546,0.89354527,0.03439058,0.744008,1.669191,56.510757
NDAR_INVH679EZ0Z,-0.1352487,0.674106,0.8185247,0.8720249,0.055857066,0.7027173,1.6642971,26.099787
NDAR_INVN8VXKZGH,-0.018608805,0.78531444,0.8447138,0.77335346,0.042940393,0.70919085,1.7771409,29.430132
NDAR_INVTFJ2LGCD,0.6248857,0.70577997,0.9197388,0.8861497,0.024600778,0.69223756,1.718809,31.682812
NDAR_INVHRZ2FCEJ,1.8519645,0.53626597,0.94102407,0.90367293,0.027851226,0.6480417,1.4279112,31.502144
NDAR_INVXNEVU6X0,-0.07656879,0.644203,0.82849914,0.8059052,0.036685303,0.83417904,1.7654485,22.918013
NDAR_INVUGT2AFVT,2.3961987,0.43856683,0.94004965,0.8442018,0.08677329,0.95649564,1.4087132,75.5186
NDAR_INV2NDR0B6U,0.81577116,0.4403694,0.78107405,0.8880523,0.032207135,0.6735709,1.7192208,31.308619
NDAR_INVD01UZ41P,0.35991806,0.6999498,0.83809876,0.7908894,0.028684355,0.60269076,1.7857639,34.503136
NDAR_INVP16001A3,-0.108495265,0.50166464,0.87552416,0.8711183,0.043761794,0.6966139,1.6083037,32.527912
NDAR_INV35KNHNNM,0.40612474,0.7814601,0.76676804,0.7907704,0.024779577,0.64530367,1.9762417,95.29835
NDAR_INVF3YGVG6M,0.06365576,0.81926894,0.845631,0.88803077,0.020562947,0.7549275,1.8119601,59.22717
NDAR_INVK2YP6EN4,1.5858197,0.92679554,0.72537416,0.7406896,0.018685395,0.7737385,1.8229496,48.667904
NDAR_INV1R4G3839,0.088597916,0.6988854,0.7985669,0.77286315,0.05089558,0.6763524,1.6097823,30.10276
NDAR_INVWV0VWFDF,1.5496266,0.7418655,0.9142431,0.97046936,0.058858488,0.91106665,1.8181036,82.065865
NDAR_INVG059BTMJ,1.3027658,0.6329539,0.873459,0.8701636,0.025439378,0.6978046,1.6497694,29.743994
NDAR_INVFJAEBAJX,-0.105965585,0.69427454,0.8212731,0.9020536,0.02517227,0.8241149,1.595271,29.688562
NDAR_INVWU3CFG57,0.41254348,0.84956694,0.7420878,0.78580916,0.032614656,0.7093135,1.8315294,80.59486
NDAR_INVFGMBVN9X,0.37430048,0.7298737,0.68202835,0.7720852,0.02765712,0.6520929,1.9647413,96.39797
NDAR_INVZN79XCAX,0.25109464,0.7896756,0.83886975,0.86131084,0.028186131,0.6963832,1.7647184,48.510098
NDAR_INVN160DMUM,-0.033827245,0.5918964,0.845111,0.83850175,0.03217486,0.7017608,1.7621781,11.038255
NDAR_INVHBGX2W56,3.7492397,0.5893974,0.9372393,0.9332721,0.017591618,0.6635376,1.6825609,63.279835
NDAR_INVD4TVEL8N,1.9705958,0.77630705,0.91510147,0.90066534,0.014403762,0.64836985,1.8302636,58.573196
NDAR_INV9M8UXK0A,0.07428349,0.39881137,0.95732886,0.9391987,0.04344748,0.8840935,1.8620656,48.66349
NDAR_INV8HTB1ND3,0.016124425,0.75722325,0.8146899,0.82033753,0.03133975,0.78654116,1.7466241,41.21213
NDAR_INV302FDTJF,-0.075981274,0.52552336,0.79271257,0.8893833,0.057806242,0.7471177,1.6421304,35.184814
NDAR_INVFRD95FDC,0.048143897,0.6189045,0.7797299,0.8595067,0.024177516,0.67091906,1.7196223,18.49359
NDAR_INVU94TLCCE,0.52344745,0.72697926,0.62141305,0.8050428,0.024831492,0.6873824,1.8910162,92.87586
NDAR_INV8KUKEWXK,2.3378654,0.6222402,0.89389,0.90076697,0.026507497,0.7086679,1.5838206,46.65346
NDAR_INVCYRHXW2G,0.26472306,0.60917777,0.90389514,0.91250044,0.023638913,0.62516373,1.6284342,14.67986
NDAR_INVRKD7U24Y,0.03173351,0.6503436,0.78201413,0.90761733,0.0264143,0.8405033,1.5964584,34.598618
NDAR_INVCEJHKU6W,5.0547256,0.76245475,0.59255004,0.7179953,0.031926926,0.9647938,1.736772,86.75843
NDAR_INV367WJ8ZA,0.61894536,0.78566945,0.6909259,0.80955994,0.021692079,0.7333963,1.8408271,28.373001
NDAR_INV1WJX687U,-0.0008847547,0.49138376,0.90284634,0.9153012,0.03230683,0.7611708,1.5660609,29.855268
NDAR_INV8ZNJ982B,0.51756316,0.7671738,0.9279776,0.9305414,0.01580044,0.6699702,1.7241209,46.250996
NDAR_INV094UXV0J,2.892276,0.645092,0.8811823,0.792119,0.06321961,0.9098776,1.7982646,89.82085
NDAR_INVU710KUDX,2.3528311,0.8176523,0.80017704,0.78069377,0.021334305,0.6354015,1.9332588,84.57279
NDAR_INVVK4U0K21,0.28585532,0.81117475,0.9270211,0.9274117,0.014534618,0.6567662,1.8342518,66.62095
NDAR_INVA850LWF0,6.2440925,0.525018,0.9384001,0.8601203,0.029737232,0.6960861,1.3372203,58.891846
NDAR_INV1L5VJRZG,2.746515,0.4694238,0.8617391,0.78852594,0.027922235,0.64354527,1.6956,53.17757
NDAR_INVJLFZWEL3,2.457572,0.5049279,0.9446133,0.96379125,0.021902237,0.9055066,1.9582614,85.95526
NDAR_INVJJURZC29,0.80898213,0.51682025,0.923166,0.89115214,0.02958529,0.67396915,1.6967448,69.333176
NDAR_INV8N1M50YL,7.0755653,0.6869645,0.9250931,0.88537973,0.020856595,0.63806415,1.4631447,61.009094
NDAR_INVHAP32VKJ,0.93284965,0.32072023,0.88754004,0.911362,0.029681673,0.6886546,1.5379095,36.56638
