subject_id,cost_go_error,cost_go_missing,cost_stop_error,cost_time,inv_temp,q_d,q_d_n,q_s,q_s_n,rate_stop_trial
INV003RTV85,1.0,1.0,1.763196228807078,0.001,80.17105278015137,0.6835058330595494,0.6846014740206301,0.8188083804249764,0.0498845930333882,0.1666666666666666
INV007W6H7B,1.0,1.0,1.804094651444179,0.001,72.53036588096619,0.663997859030962,0.519266415045131,0.6727135471403599,0.0962019626606925,0.1666666666666666
INV00BD7VDC,1.0,1.0,1.7815643448369898,0.001,28.54395878887177,0.8340392049252987,0.7954398674569093,0.7463196109831333,0.0182486427457263,0.1666666666666666
INV00R4TXET,1.0,1.0,1.7137369463538512,0.001,32.541118881225586,0.5831067917048931,0.7231794257613364,0.7040185143649578,0.021838298880978,0.1666666666666666
INV00UMK5VC,1.0,1.0,0.6109560679782552,0.001,78.19646472072601,0.6975462456345558,0.5638345900844143,0.7812330895960331,0.0878939325954561,0.1666666666666666
INV01AJ15N9,1.0,1.0,1.4672949242758928,0.001,74.28080973625183,0.7063617766201497,0.4696382581815123,0.7805790155529976,0.024468747783826,0.1666666666666666
INV01NAYMZH,1.0,1.0,0.5375762080688575,0.001,68.21132438278198,0.60636692070961,0.2069123527808815,0.8450375181436539,0.2347716665173647,0.1666666666666666
INV01RGTWD2,1.0,1.0,1.864900956161349,0.001,86.5004672164917,0.8908198112845421,0.8245941117201,0.7672176223993301,0.0333989961961036,0.1666666666666666
INV01Z8HAPV,1.0,1.0,1.425956755266791,0.001,61.275686341285706,0.7475042354464531,0.6257693404449383,0.6713212249875069,0.0844246507299903,0.1666666666666666
INV021403LF,1.0,1.0,1.7725134804382618,0.001,80.90684745407104,0.7084250058829784,0.7359591768984682,0.8924434911608696,0.0535777578971019,0.1666666666666666
INV022ZVCT8,1.0,1.0,1.6469221707462585,0.001,80.72215106201172,0.8321259585022927,0.8771744040548801,0.7639085020422935,0.041933380892704,0.1666666666666666
INV028D3ELL,1.0,1.0,1.588105382667581,0.001,57.80972399139405,0.9100667752623558,0.7760845186728984,0.6884249507784843,0.0365469879498014,0.1666666666666666
INV02EBX0JJ,1.0,1.0,1.7390374369653323,0.001,58.67042277908325,0.8343671187162399,0.733843641505111,0.7116946395635605,0.0298845228049704,0.1666666666666666
INV02H7G2T6,1.0,1.0,1.6406458233379269,0.001,41.32916775608063,0.8102871468663215,0.796723494976759,0.7302527225017548,0.034312285535725,0.1666666666666666
INV02JXJUZG,1.0,1.0,1.149000940310377,0.001,68.89238979434967,0.7468697709441185,0.7011717577539385,0.727408009916544,0.0321099120125463,0.1666666666666666
INV02RCED7D,1.0,1.0,1.5922116250360696,0.001,59.37895204734802,0.7894311865270138,0.7665090335160494,0.6810207289159298,0.0337166078039954,0.1666666666666666
INV02UVMTY7,1.0,1.0,1.7543882231614356,0.001,88.9285906085968,0.8746172224283218,0.9140328082740308,0.7249955248236656,0.06604025376308,0.1666666666666666
INV02WP3TP6,1.0,1.0,1.6920478227067546,0.001,41.81640132045746,0.8525812583267689,0.7789351733382791,0.6758726950287819,0.0378838572749637,0.1666666666666666
