,mean,std,5%,50%,95%
q_d_n,0.3074661895632744,0.1331658366959321,0.15088124722242355,0.3408804386854172,0.4848513916134833
q_d,0.8317519843578338,0.12209797581927491,0.65680733025074,0.8645589649677277,0.9786541014909744
q_s_n,0.5397253848612309,0.3479261699352176,0.059595970436930656,0.6020612418651581,0.9784576714038848
q_s,0.7824105560779572,0.1507204115870799,0.5586775034666062,0.8117206990718842,0.9656113177537917
inv_temp,84.04001159667969,5.821960627777887,74.00912094116211,85.46629333496094,89.79195899963379
cost_stop_error,0.4310513131740269,0.1578861867386337,0.2582263646491761,0.43599653220894685,0.6842716214128213
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001
cost_go_error,1.0,0.0,1.0,1.0,1.0
cost_go_missing,1.0,0.0,1.0,1.0,1.0
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666
