go_run_length,fitted_hazard,empirical_hazard
1,0.07229279182273396,0.0208127511032075
2,0.14392072214593488,0.140996838635905
3,0.19245521383965425,0.2542558022989946
4,0.23158445200480282,0.2889460559128494
5,0.2649613965639469,0.3244215065195883
6,0.2943075463477637,0.3758511021978382
7,0.32061121821828464,0.2627781960811781
8,0.34450669354705454,0.2045271008503159
9,0.36643181903590305,0.3072168642321818
10,0.3867048898260925,0.3124730626670114
11,0.4055664321925142,0.2778335005015045
12,0.4232037667276881,0.1697916666666666
13,0.43976634230343814,0.2037850271852781
14,0.4553757745728907,0.2066973079448457
15,0.47013267661482316,0.2617116371461678
16,0.48412145820900276,0.3520179372197309
17,0.49741379029649024,0.4238754325259515
18,0.5100711644169078,0.2384384384384384
19,0.5221468217948868,0.3170347003154574
20,0.533687233006243,1.0
