index,mean,std,5%,50%,95%,subject_id,subject_year
q_d_n,0.4927699536085129,0.17305125068195887,0.28001248836517334,0.4803934544324875,0.7668166935443878,SUB,001.csv
q_d,0.7262121915817261,0.17203625465874808,0.557578906416893,0.6897435486316681,0.9562030762434005,SUB,001.csv
q_s_n,0.3244895162060857,0.25219177233320084,0.02793808011338115,0.2726731300354004,0.7296312808990475,SUB,001.csv
q_s,0.7310125172138214,0.13043717343954994,0.579155096411705,0.7109112441539764,0.9294714689254759,SUB,001.csv
inv_temp,87.42147750854492,7.5658542220744,74.85906181335449,88.94165420532227,95.87557563781738,SUB,001.csv
cost_stop_error,0.4338594104583888,0.15516596735216645,0.27206237970720387,0.3898249541530217,0.6945826109048854,SUB,001.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,001.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,001.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,001.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,001.csv
q_d_n,0.48787689208984375,0.20477570799751688,0.20128224194049835,0.5231983661651611,0.7375277161598205,SUB,002.csv
q_d,0.7722594499588012,0.14670449050685028,0.5810486912727356,0.8134315013885498,0.951815378665924,SUB,002.csv
q_s_n,0.38143394254148005,0.23584585031314648,0.08360057715326548,0.3406831920146942,0.642569050192833,SUB,002.csv
q_s,0.6469000399112701,0.0935660348910956,0.5252983033657074,0.6610209345817566,0.7539982199668884,SUB,002.csv
inv_temp,85.17427368164063,7.980032200954948,73.37616729736328,86.34447860717773,95.5068603515625,SUB,002.csv
cost_stop_error,0.5815664380479932,0.22949820432539364,0.31970084214845457,0.5148202645239337,0.9190320217672536,SUB,002.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,002.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,002.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,002.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,002.csv
q_d_n,0.5748619019985199,0.1788212566199458,0.297447469830513,0.5930846035480499,0.7877848923206329,SUB,003.csv
q_d,0.7528523206710815,0.15136985408575102,0.5418641954660416,0.7468274235725403,0.9527811616659164,SUB,003.csv
q_s_n,0.575417023897171,0.3079947792381518,0.19347990602254866,0.6284779906272888,0.9478311210870742,SUB,003.csv
q_s,0.6755697667598725,0.09891940664954744,0.547353196144104,0.6566114723682404,0.8016130656003951,SUB,003.csv
inv_temp,87.63839569091797,11.341581807041964,68.89635009765625,90.6231918334961,98.03551292419434,SUB,003.csv
cost_stop_error,0.68201175233948,0.3609953638469886,0.36020511858041,0.6115968010588256,1.25538247796443,SUB,003.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,003.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,003.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,003.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,003.csv
q_d_n,0.43731013387441636,0.1540174727941721,0.27109072282910346,0.42001424729824066,0.6720308721065519,SUB,004.csv
q_d,0.7437948524951935,0.16731320586574844,0.533739110827446,0.7510075569152832,0.9429070681333541,SUB,004.csv
q_s_n,0.48348628282546996,0.31075624127654083,0.1682835690677166,0.35140956938266754,0.9082963317632674,SUB,004.csv
q_s,0.6603422701358795,0.05772509136940717,0.5833004623651504,0.6626272201538086,0.7356933802366256,SUB,004.csv
inv_temp,86.12837295532226,8.462749247925212,73.24286651611328,86.42257308959961,96.53614120483398,SUB,004.csv
cost_stop_error,0.32971400683082885,0.11220732608281622,0.18910450574243062,0.3229685108189171,0.5033243261186925,SUB,004.csv
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001,SUB,004.csv
cost_go_error,1.0,0.0,1.0,1.0,1.0,SUB,004.csv
cost_go_missing,1.0,0.0,1.0,1.0,1.0,SUB,004.csv
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666,SUB,004.csv
q_d_n,0.3948221517726779,0.3067502647048119,0.07707113297656179,0.2683553397655487,0.8513050138950345,SUB,005.csv
q_d,0.7380605459213256,0.12950766126981444,0.5932693243026733,0.7088686227798462,0.9437081068754196,SUB,005.csv
q_s_n,0.6369284100830555,0.2666344449066206,0.22490580342710018,0.7026187777519226,0.9265449732542037,SUB,005.csv
q_s,0.6648276686668396,0.09538669843655272,0.5495524764060974,0.6550315320491791,0.7944688528776168,SUB,005.csv
inv_temp,83.56860389709473,13.178128950971221,60.70942134857178,85.76387023925781,97.74146842956543,SUB,005.csv
