case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error
0,0.6287524104118347,0.34279825165867805,1.0,0.5135136246681213,0.7951652050018311,0.0,0.6730281114578247,0.35800050301477315,1.0,0.7055785059928894,0.754697322845459,1.0,55.41891098022461,51.48015117645264,1.0,0.10429698453748068,0.23818761680732128,1.0
1,0.4451790750026703,0.45734261721372604,1.0,0.5608323812484741,0.7522455275058746,1.0,0.49926644563674927,0.3041289526969194,1.0,0.9895278215408325,0.7625336647033691,0.0,89.5107650756836,80.7171459197998,1.0,0.014816593814885972,0.682511917512068,0.0
2,0.030573485419154167,0.4421437386423349,0.0,0.8118122816085815,0.8815264761447906,1.0,0.822236180305481,0.41040307395160197,1.0,0.786894679069519,0.6925286650657654,1.0,85.83296203613281,78.7521915435791,1.0,0.36394980235366486,0.5539713742231017,1.0
3,0.4554828107357025,0.3803491801023483,1.0,0.9972712993621826,0.767326009273529,0.0,0.20312891900539398,0.3759769659489393,1.0,0.549241304397583,0.726560378074646,0.0,60.1243896484375,52.25538210868835,1.0,0.06172786220387919,0.0653973918236329,1.0
4,0.7820805311203003,0.47240504026412966,0.0,0.538029134273529,0.7404378354549408,0.0,0.7011514902114868,0.2806411996483803,0.0,0.8049651384353638,0.8161604642868042,1.0,67.7076416015625,53.64957962036133,1.0,0.03579007844827884,0.4214719742646361,1.0
