q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing,rate_stop_trial
0.3888070285320282,0.8501073122024536,0.9663686156272888,0.7640075087547302,82.87895202636719,0.20127253128503256,0.001,1.0,1.0,0.16666666666666666
0.23593416810035706,0.958869218826294,0.7459946870803833,0.7049345970153809,73.26431274414062,0.16250224680537842,0.001,1.0,1.0,0.16666666666666666
0.6849309206008911,0.9341235756874084,0.9594821333885193,0.6512906551361084,62.282196044921875,0.19712594226911673,0.001,1.0,1.0,0.16666666666666666
0.4721563756465912,0.7631769180297852,0.31897082924842834,0.6021913886070251,89.916259765625,0.2558576239304407,0.001,1.0,1.0,0.16666666666666666
0.6776401400566101,0.9118488430976868,0.9526798725128174,0.7057902812957764,72.89384460449219,0.23188004320900713,0.001,1.0,1.0,0.16666666666666666
0.3690436780452728,0.8344108462333679,0.47043174505233765,0.6273077726364136,88.10546875,0.22992188802440208,0.001,1.0,1.0,0.16666666666666666
0.35830527544021606,0.7816562056541443,0.32658886909484863,0.6738657355308533,92.3497543334961,0.2794538270047877,0.001,1.0,1.0,0.16666666666666666
0.48683926463127136,0.8717866539955139,0.2734431028366089,0.6545041799545288,94.8044204711914,0.3392544517525857,0.001,1.0,1.0,0.16666666666666666
0.28610363602638245,0.8440189361572266,0.14540408551692963,0.7459434866905212,95.74384307861328,0.2702351914303668,0.001,1.0,1.0,0.16666666666666666
0.5984817743301392,0.9269487857818604,0.9458048939704895,0.5628242492675781,85.96279907226562,0.14248283061822045,0.001,1.0,1.0,0.16666666666666666
