case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
58,0.9316786875405608,0.6034696,1.0,0.5524620380173567,0.679368,1.0,0.574841103153181,0.50716996,1.0,0.8933345214819453,0.94953877,1.0,7.755914276739599,7.7472954,1.0,13.623623933614969,40.51346,1.0,0.9662439849252855,0.5777117,1.0,0.005365626127964162,0.0038594338,1.0,0.015712901683405483,0.07818379,1.0,1.4912460377303471,0.37571308,1.0
59,0.24849003474747,0.20155671,1.0,0.973362098547733,0.9748885,1.0,0.9869305831300696,0.49322468,0.0,0.7830346062406432,0.7646681,1.0,9.186806279663994,9.202502,1.0,61.57488726072983,41.242313,1.0,0.01103578269712745,0.14418553,0.0,0.009876324894008097,0.014433632,1.0,0.3190223586896862,0.5249425,1.0,0.5991476853647527,0.37959924,1.0
60,0.3526793975559904,0.3346185,1.0,0.7992440418108808,0.7799105,1.0,0.8746138017401172,0.55805415,1.0,0.7615713936417952,0.66969395,1.0,11.376203784549256,11.375735,1.0,11.551219913442369,33.263844,1.0,0.023994866402072833,0.0968019,1.0,0.003338814404786549,0.004503213,1.0,1.622214475190111,0.8215443,0.0,0.010036379142362736,0.4235872,0.0
61,0.918013607788197,0.57536805,1.0,0.853089429454418,0.68410623,1.0,0.9785971817947118,0.5320785,0.0,0.9869262079058536,0.7279933,0.0,4.440761602050401,4.440707,1.0,14.778438349820382,28.325571,1.0,0.035868598001569454,0.2671125,1.0,0.0008633161428192504,0.0056067924,1.0,0.011632743256095633,0.07289223,1.0,0.4373988112733206,0.43856138,1.0
62,0.1790078445180152,0.5840584,1.0,0.5284931763328361,0.6716984,1.0,0.5054722871686765,0.57167596,1.0,0.6954663213261576,0.6524912,1.0,15.663152359309935,15.690799,1.0,11.680186452142086,26.182518,1.0,0.1244895627859171,0.3292076,1.0,0.0023933136863350957,0.0010634038,1.0,0.48944138279374916,0.15664743,1.0,0.05876368345646757,1125301.1,1.0
63,0.9125766773201032,0.58836174,1.0,0.6472250109679774,0.6841186,1.0,0.8179800833256972,0.5280523,1.0,0.6126694507881504,0.72945166,1.0,8.170760460772694,8.176224,1.0,12.065229280707735,30.987951,1.0,0.1079070296369012,0.21871704,1.0,0.0323838408352997,0.011207588,0.0,0.7793788610799793,0.097326204,0.0,0.030821457553457214,0.39104426,1.0
64,0.9649824344542016,0.87302417,1.0,0.7912876765415886,0.73085606,1.0,0.7111746037183017,0.8061845,0.0,0.8575962772416053,0.9136166,1.0,14.903730891461038,15.548981,1.0,92.24575000019419,68.397766,1.0,1.0749203409570351,320.12515,1.0,0.006054461354763864,0.00913122,1.0,0.4279264165370649,0.678347,1.0,0.0228626605078862,0.03791088,1.0
65,0.5839909928886681,0.5499851,1.0,0.8270895066055388,0.86424506,1.0,0.39844986451026365,0.46663573,1.0,0.6527595592868216,0.77197754,1.0,10.07016609347899,10.079688,1.0,24.296995182098243,38.59349,1.0,0.09146268300160093,0.06417023,1.0,0.044707533902219335,0.014719363,0.0,1.5462739684324753,0.6140583,0.0,0.04136984223011909,0.35045618,1.0
66,0.21193687563094965,0.26849294,1.0,0.8976338189480328,0.89641505,1.0,0.9839649282944042,0.6086405,0.0,0.8697252067035974,0.59979063,0.0,11.837457874517078,11.845042,1.0,29.585582854505997,39.60568,1.0,0.6362614432954771,0.71449775,1.0,0.000258630545245265,0.0009097143,1.0,0.9870337074249751,0.8140388,1.0,1.8768894850255917,0.46601707,0.0
67,0.6497744356744394,0.5344249,1.0,0.8211083168400244,0.83649135,1.0,0.5028061659304423,0.50632524,1.0,0.7685793142210992,0.7261189,1.0,10.171763698796342,10.183849,1.0,25.426254796840027,33.24026,1.0,0.010394661557233785,0.0894191,0.0,0.0008742793358613776,0.0038478042,1.0,0.1597580051497453,0.23562011,1.0,0.23948832251320418,0.3453137,1.0
68,0.03152922219973098,0.35609227,1.0,0.5790742415524405,0.67717916,1.0,0.9194183693746383,0.63991016,0.0,0.9134287373123189,0.6821107,0.0,5.77701906987343,5.8008595,1.0,12.060875962813654,28.212605,1.0,0.8927968534370286,0.9260121,1.0,0.0006985941123940542,0.00045512686,1.0,0.701685569380404,0.17586681,0.0,0.1654160120421255,0.06350422,1.0
69,0.9426304557557675,0.68490314,1.0,0.5431346591246561,0.5429297,1.0,0.43537488527475765,0.6017482,1.0,0.8207338657797838,0.68639296,1.0,8.419577506228503,8.163142,1.0,18.777385042971716,37.68747,1.0,1.4940642892153195,5726.105,1.0,0.0012901659893383888,0.0010635151,1.0,0.8331141322962079,0.8072914,1.0,0.0628880011198006,0.07639542,1.0
70,0.6567978510348094,0.5582524,1.0,0.6312243764402266,0.7256982,1.0,0.019512470967639528,0.5031845,0.0,0.687356196861411,0.73440313,1.0,7.140053803622738,7.1511474,1.0,74.20129688298509,38.65439,1.0,0.023809412422284956,0.19926542,1.0,0.0167197447385647,0.024551148,1.0,0.19218618546214966,0.11515613,1.0,0.16586489248847253,0.38706544,1.0
71,0.7133927380102707,0.4964907,1.0,0.6767337584405939,0.7550809,1.0,0.15384050359592583,0.15149258,1.0,0.8434892783500203,0.8926312,1.0,5.229177685722132,5.209531,1.0,17.738276585619374,36.434666,1.0,1.5674220532144494,0.91085166,1.0,0.0014670367356856065,0.00037556989,0.0,0.1083639928273947,0.07377385,1.0,0.010930628003853833,0.35036907,0.0
72,0.12296839801284154,0.5793002,1.0,0.8385786934832822,0.69947535,1.0,0.5304151610123047,0.50379235,1.0,0.9709708578944797,0.72755647,0.0,12.114056823688363,12.10012,1.0,22.876975278252154,27.71904,1.0,0.08208505467692538,0.07318993,1.0,0.00481024353314252,0.006721588,1.0,0.011140980849219318,0.09937616,1.0,0.13851730913249188,11695.129,1.0
73,0.6843856237189381,0.73035353,1.0,0.7567483841777976,0.7553039,1.0,0.7985774241328587,0.48153004,1.0,0.8776049863228248,0.74901485,1.0,13.309231273488134,13.316949,1.0,11.400930371149258,29.677013,1.0,0.05163306641257672,0.090543464,1.0,0.0008412161137223915,0.0012476165,1.0,0.7633018689936801,0.43880004,1.0,1.3599040007826881,0.4791357,1.0
74,0.13718618534606275,0.38484603,1.0,0.6851732118501849,0.83408946,1.0,0.03975177865171353,0.23217916,0.0,0.9261173093031009,0.8704695,1.0,12.842456442120172,12.856359,1.0,10.881853448416425,55.792976,0.0,0.44468979363168165,0.2788789,1.0,0.0005865368545840908,0.0013877555,1.0,0.1434762253473108,0.08434572,1.0,0.015482451675523213,0.4199502,1.0
75,0.09833685744536735,0.10562161,1.0,0.730443195141502,0.73597854,1.0,0.9869509504685395,0.5099493,0.0,0.5865133913957152,0.66601443,1.0,7.626276838404569,7.2373614,1.0,28.470704192065075,56.614887,1.0,0.0711410930444778,0.1530824,1.0,0.0002682025976589707,0.0012724245,1.0,1.8852914196226354,94.91177,1.0,0.020195018564929095,0.08428713,1.0
