q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing,rate_stop_trial
0.22433683276176453,0.9365126490592957,0.15772490203380585,0.9445214867591858,97.43670654296875,0.4074911466537569,0.001,1.0,1.0,0.16666666666666666
0.3671879172325134,0.9966951608657837,0.1784839630126953,0.7482194900512695,88.37289428710938,0.3593661337882406,0.001,1.0,1.0,0.16666666666666666
0.34506556391716003,0.6602411270141602,0.8453502058982849,0.6739327907562256,88.11782836914062,0.17473484654400337,0.001,1.0,1.0,0.16666666666666666
0.42807093262672424,0.8081133961677551,0.8424738049507141,0.7538068890571594,84.20271301269531,0.20749447798292822,0.001,1.0,1.0,0.16666666666666666
0.24601292610168457,0.7265573143959045,0.46078214049339294,0.7402413487434387,81.23162078857422,0.2881660652836655,0.001,1.0,1.0,0.16666666666666666
0.23376522958278656,0.7911946773529053,0.6296815276145935,0.6880496144294739,95.15425872802734,0.3621221210087901,0.001,1.0,1.0,0.16666666666666666
0.638604462146759,0.6826376914978027,0.22111999988555908,0.6512341499328613,97.08858489990234,0.8516811415196128,0.001,1.0,1.0,0.16666666666666666
0.1833113580942154,0.8085147142410278,0.4044414758682251,0.9178299307823181,90.79154205322266,0.40062009492976025,0.001,1.0,1.0,0.16666666666666666
0.5249923467636108,0.7180099487304688,0.6059196591377258,0.5636058449745178,96.90277862548828,0.5733594046914736,0.001,1.0,1.0,0.16666666666666666
0.6289840936660767,0.5628370642662048,0.43284639716148376,0.670523464679718,67.55238342285156,0.6052644203189163,0.001,1.0,1.0,0.16666666666666666
