,mean,std,5%,50%,95%
q_d_n,0.3210907347500324,0.21329654083678243,0.1289001051336527,0.20972084254026413,0.6761100709438324
q_d,0.7831168234348297,0.1094448291930562,0.6079011291265488,0.7974174618721008,0.9072774082422256
q_s_n,0.38611094933003187,0.2755939184576091,0.04103384660556912,0.32634271681308746,0.7979687541723248
q_s,0.748559695482254,0.16241513791802326,0.5328346699476242,0.7542442381381989,0.9317862451076507
inv_temp,79.52954025268555,10.216004590832304,63.77418212890625,81.43993759155273,91.6801601409912
cost_stop_error,0.3258994462980603,0.18547917371146203,0.08838660939832199,0.30716082949568,0.6307834184798462
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001
cost_go_error,1.0,0.0,1.0,1.0,1.0
cost_go_missing,1.0,0.0,1.0,1.0,1.0
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666
