,mean,std,5%,50%,95%
q_d_n,0.5304381519556045,0.2012433575919043,0.18665096908807755,0.5392708778381348,0.7400722056627274
q_d,0.7034367620944977,0.07846299640273076,0.5852678686380386,0.7041351795196533,0.7842378973960876
q_s_n,0.3873150173574686,0.22534544217891014,0.10601715724915267,0.37451376020908356,0.6821334660053252
q_s,0.730218642950058,0.09986992647514416,0.5962624460458755,0.7284488677978516,0.8651239275932311
inv_temp,83.52787017822266,9.92124237394875,67.69691925048828,87.10884094238281,93.2096076965332
cost_stop_error,0.5747746522865371,0.3309049690126433,0.2116837855836631,0.5712595231956524,1.0622073236158063
cost_time,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001
cost_go_error,1.0,0.0,1.0,1.0,1.0
cost_go_missing,1.0,0.0,1.0,1.0,1.0
rate_stop_trial,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.16666666666666666,0.16666666666666666
