q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing,rate_stop_trial
0.174870103597641,0.9844714999198914,0.8625084161758423,0.7873295545578003,81.7931137084961,0.19379800415440424,0.001,1.0,1.0,0.16666666666666666
0.3697786033153534,0.609920859336853,0.5287711024284363,0.6982088685035706,88.92398834228516,0.47710961682126357,0.001,1.0,1.0,0.16666666666666666
0.5458452701568604,0.5420900583267212,0.6645468473434448,0.7871212363243103,86.21086120605469,0.3181601610973194,0.001,1.0,1.0,0.16666666666666666
0.3825286328792572,0.8404891490936279,0.822711169719696,0.6731418371200562,86.23392486572266,0.2234145801886773,0.001,1.0,1.0,0.16666666666666666
0.9131430387496948,0.9948321580886841,0.6408724188804626,0.7737080454826355,84.36273193359375,0.36399813778691703,0.001,1.0,1.0,0.16666666666666666
0.2613076865673065,0.9992918372154236,0.8105389475822449,0.506072998046875,73.30023193359375,0.1909293677350446,0.001,1.0,1.0,0.16666666666666666
0.27237269282341003,0.889317512512207,0.5077166557312012,0.6249531507492065,79.67577362060547,0.30147363322765136,0.001,1.0,1.0,0.16666666666666666
0.5597090125083923,0.7376093864440918,0.024325188249349594,0.6884906888008118,83.84026336669922,0.8421405187314122,0.001,1.0,1.0,0.16666666666666666
0.17933981120586395,0.639916718006134,0.8009868264198303,0.7815233469009399,90.23902893066406,0.25002974353463114,0.001,1.0,1.0,0.16666666666666666
0.1456262469291687,0.8305079340934753,0.6366574764251709,0.8608732223510742,92.05802917480469,0.20893419435011062,0.001,1.0,1.0,0.16666666666666666
