q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing,rate_stop_trial
0.13471490144729614,0.6533334851264954,0.11700323224067688,0.8108165264129639,78.72771453857422,0.5055456561957182,0.001,1.0,1.0,0.16666666666666666
0.23871421813964844,0.6927529573440552,0.9064309000968933,0.7171717286109924,95.24067687988281,0.35756232318183745,0.001,1.0,1.0,0.16666666666666666
0.578565239906311,0.8848825097084045,0.9956674575805664,0.5568795204162598,85.35567474365234,0.37340699237021147,0.001,1.0,1.0,0.16666666666666666
0.04237731918692589,0.818501889705658,0.9757004380226135,0.6960288882255554,88.02765655517578,0.25711007571541517,0.001,1.0,1.0,0.16666666666666666
0.29268860816955566,0.5247501730918884,0.12181011587381363,0.9147416949272156,85.20360565185547,0.264786721972513,0.001,1.0,1.0,0.16666666666666666
0.5177474617958069,0.8450954556465149,0.9112990498542786,0.9296149015426636,98.49149322509766,0.3178841676057686,0.001,1.0,1.0,0.16666666666666666
0.39488905668258667,0.8987709879875183,0.5418108105659485,0.6905115246772766,83.04070281982422,0.25227442477533457,0.001,1.0,1.0,0.16666666666666666
0.24040812253952026,0.9154701828956604,0.9668990969657898,0.8193696737289429,84.0939712524414,0.22370869643353555,0.001,1.0,1.0,0.16666666666666666
0.5663713812828064,0.5020425915718079,0.5134525895118713,0.7591791152954102,69.02986145019531,0.3257765615416013,0.001,1.0,1.0,0.16666666666666666
0.6172294616699219,0.5651851892471313,0.18732032179832458,0.7413859367370605,82.75066375732422,0.795440451674589,0.001,1.0,1.0,0.16666666666666666
