case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
12,0.33714569690924434,0.39363182,1.0,0.7771028682310748,0.7789507,1.0,0.9691671779730344,0.71214736,0.0,10,9.927691,1.0,0.02692620046615546,0.67009366,1.0,0.051182821654122544,0.12610818,1.0,0.00012463120884158882,0.00083340285,1.0
13,0.03245678002768748,0.14521813,1.0,0.6393602580926314,0.61681515,1.0,0.5997545978499343,0.58363,1.0,11,8.855181,0.0,0.2384843781091316,0.63814735,1.0,0.17775775931963794,2.5551221,0.0,0.00934831356695947,0.02043693,0.0
14,0.11892919930262513,0.31927058,1.0,0.9664111379291598,0.90267545,1.0,0.7511726744083067,0.82580405,0.0,6,5.4893456,1.0,1.7286805415357407,3.9552522,1.0,2.5801188220348577,3.0369914,1.0,0.0005248260509974108,0.0015500125,1.0
15,0.0982598243918148,0.29100123,1.0,0.7068382909063512,0.70691216,1.0,0.5891468975955144,0.6681922,1.0,14,12.415334,0.0,0.050574809479838445,0.06452683,1.0,0.5922621375502011,0.76767987,1.0,0.0018109276157888543,0.0025119514,1.0
16,0.731441030945303,0.7073593,1.0,0.6372559238544928,0.6199597,1.0,0.6983014440380395,0.7379322,1.0,13,12.751087,1.0,6.205585968579596,2.7752783,1.0,0.0399386407982536,0.03956036,1.0,0.0037085426986109725,0.0022884686,1.0
17,0.8353567642127433,0.5657394,1.0,0.7131357774687996,0.6287526,1.0,0.7804097573506041,0.8503562,1.0,10,9.340062,1.0,9.636435770901148,2.5191748,0.0,0.011286137646076947,0.034107015,0.0,0.0014143310105700175,0.00074225914,1.0
18,0.7895256320808437,0.8113109,1.0,0.767074810243914,0.79814553,1.0,0.9007458751549113,0.9050261,1.0,7,7.082833,1.0,0.40610459032464685,1.41479,1.0,0.3723842438885015,0.51123637,1.0,0.004390953077456046,0.0047422834,1.0
19,0.648272878290145,0.41961974,1.0,0.7856029376914928,0.751343,1.0,0.666612784056196,0.6495951,1.0,7,6.319198,1.0,5.941839250942148,3.3127098,1.0,0.5139113975443593,0.672921,1.0,0.0002224433762226095,0.00030583376,1.0
20,0.6129017948403236,0.40973064,1.0,0.7621345736252552,0.7456393,1.0,0.5609720019457684,0.65955853,1.0,5,4.441923,1.0,0.08016178434469877,0.0544141,1.0,7.0979442479784876,4.9128904,1.0,0.010316401529510457,0.006625654,1.0
21,0.4559900175058025,0.40751183,1.0,0.5978783082619965,0.60354125,1.0,0.8303310422524203,0.66941124,1.0,14,14.241742,1.0,3.199506933468362,1.9706409,1.0,0.3108713581959785,0.27981392,1.0,0.014651357612759356,0.016593212,1.0
22,0.47669452923421873,0.375649,1.0,0.9474188685564175,0.8913912,0.0,0.9239066316104019,0.8510088,1.0,12,12.190293,1.0,1.5597097279609198,1.6393275,1.0,0.01101788577968558,0.21814208,0.0,0.037733137960793396,0.039787367,1.0
23,0.7905769434519851,0.83738816,1.0,0.5636071713669459,0.5919906,1.0,0.8323538220114945,0.80185926,1.0,5,4.6273537,1.0,1.8579132555659874,2.436563,1.0,0.8626762714165888,0.9402657,1.0,0.0001639705827320723,0.00049061934,1.0
24,0.9104089872055786,0.6089742,1.0,0.8221764004943842,0.56968296,0.0,0.6363475583656085,0.7369888,1.0,8,8.1227,1.0,0.0591611213987649,2.1305668,1.0,0.031289272308800575,0.15248221,1.0,0.03672069757662216,0.011449949,0.0
25,0.3463080693704861,0.36965007,1.0,0.6782897634081864,0.68106616,1.0,0.5459731488037329,0.563304,1.0,8,8.157202,1.0,0.8470191903045786,3.089166,1.0,0.30861804178232044,0.1949127,1.0,0.010926171268243832,0.010980652,1.0
26,0.6883558573207688,0.68315613,1.0,0.5976989549211045,0.6036803,1.0,0.6830639138105703,0.66776794,1.0,15,12.842065,0.0,0.028017269564691066,0.06536098,1.0,0.04297721082923467,0.060720354,1.0,0.0027237636886894953,0.0013955185,0.0
27,0.8184537265086571,0.35759646,0.0,0.8129916061131622,0.7036771,1.0,0.7048543264609747,0.68047106,1.0,15,14.788179,1.0,8.137868083620848,5.8849363,1.0,7.764591865537851,5.041142,0.0,0.01080148584969823,0.0018000774,0.0
28,0.3495747416683087,0.3350549,1.0,0.9014348577189668,0.89047754,1.0,0.7683552217640273,0.7736593,1.0,11,11.054839,1.0,2.31482297159226,1.3257746,1.0,0.040913034524305704,0.09888814,1.0,0.00891023550028269,0.010842535,1.0
29,0.5136397098457504,0.31694677,1.0,0.7580837164746336,0.73189914,1.0,0.7355186574727544,0.77601564,1.0,13,13.212901,1.0,1.8864393504704409,1.2108662,1.0,0.020495686522442647,0.072905906,1.0,0.00020275793869507973,0.0009123372,1.0
