case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6575248384230934,0.65787196,1.0,0.8053588178830611,0.7012468,1.0,13,13.147549,1.0,6.856825047624495,15.822317,1.0,0.3710395752729947,0.41209614,1.0
1,0.6598468747851318,0.63646084,1.0,0.9547938971950588,0.935852,1.0,16,15.664854,0.0,1.6895232254428123,1.6456959,1.0,0.0920306872490818,0.078108385,1.0
2,0.9846254057968686,0.9870319,1.0,0.5632158865061241,0.7502198,1.0,5,4.924769,1.0,8.272420623352689,8.332724,1.0,0.19133463339174875,0.3111288,1.0
3,0.5201931589897336,0.53462523,1.0,0.5064558158893201,0.72792405,0.0,11,11.045481,1.0,14.968108842449237,9.770832,1.0,0.23111607259130978,0.36699265,1.0
4,0.9275495068312787,0.89767885,1.0,0.9148248191186429,0.92882824,1.0,5,4.886448,1.0,5.010035436659531,6.3271337,1.0,0.07302547491829736,0.10824864,1.0
5,0.9127806590805029,0.8824531,1.0,0.8714844724168278,0.83792686,1.0,12,11.781721,1.0,2.2871668703785826,2.696068,1.0,0.018766944449854245,0.026784237,1.0
6,0.5828073803521305,0.57109535,1.0,0.7299196797874961,0.6557822,1.0,13,12.618639,1.0,1.358199576446846,1.3363955,1.0,0.024745110693434203,0.019059593,0.0
7,0.6201323617066898,0.61119014,1.0,0.7603541552077042,0.75264686,1.0,16,15.774288,1.0,3.5908122010572048,7.4059577,0.0,0.08288092876444197,0.123102,0.0
8,0.9149750815263937,0.9135137,1.0,0.8197343814908444,0.790685,1.0,10,10.106757,1.0,1.4906644278334633,1.6187404,1.0,0.04195301997117548,0.04022513,1.0
9,0.652338967135087,0.7006251,1.0,0.5669766999969055,0.73838824,1.0,9,9.007662,1.0,3.050420563906018,6.019477,1.0,0.3195445099712618,0.4026371,1.0
10,0.8263052213045141,0.77959573,1.0,0.5323711300934797,0.77716553,0.0,4,4.2999926,1.0,42.02923555511656,36.486324,1.0,0.011959637990978668,0.03945106,1.0
11,0.622176413045848,0.61617464,1.0,0.9935704190001861,0.88244176,0.0,15,13.961212,0.0,14.923142048157999,22.69153,0.0,0.011680597666933525,0.047753233,0.0
12,0.5114336370709982,0.5210701,1.0,0.8454169514381564,0.8930679,1.0,7,6.934056,1.0,3.1014153133245097,3.4960368,1.0,0.02892138373663051,0.038782414,1.0
13,0.7401339809244023,0.71913886,1.0,0.8357315661150184,0.8794686,1.0,6,5.9645925,1.0,3.1082069641008707,4.3477755,1.0,0.056338470684234594,0.07563872,1.0
14,0.8730123006326601,0.8729356,1.0,0.6299850264298643,0.60353523,0.0,5,4.3042755,1.0,5.295949295790403,5.7242928,1.0,0.01665094344616732,0.014311149,1.0
15,0.672197819412521,0.6574216,1.0,0.6365686594864122,0.7566115,0.0,9,8.719879,1.0,2.242137432513862,1.9911098,1.0,0.012541375747116978,0.011750143,1.0
16,0.81961255449486,0.8161001,1.0,0.678455648351066,0.6841256,1.0,10,10.065299,1.0,1.2075948818917643,1.4281209,1.0,0.11514699721139975,0.11382256,1.0
17,0.9953744950801064,0.9933353,1.0,0.9186468625580377,0.67140484,1.0,5,4.944044,1.0,1.9088030574729438,7.7398224,0.0,0.07171059673622442,0.10107802,1.0
18,0.7171306383820137,0.76590264,1.0,0.7690552853569476,0.7822666,1.0,13,12.385302,1.0,44.74651082415697,42.19571,1.0,0.010167729912833308,0.027792206,0.0
19,0.8974790982752177,0.8730924,1.0,0.6451675994950812,0.632701,1.0,15,15.262444,1.0,1.3167005795785736,1.5975554,1.0,0.01088462202184263,0.015426039,1.0
20,0.7410116481558013,0.67019993,0.0,0.5685232068619698,0.5757863,1.0,12,10.969209,1.0,26.836145243386724,24.922972,1.0,0.05133231201810536,0.047150146,1.0
