case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.11131766863217074,0.2089017,0.0,0.8039830509341079,0.82168233,1.0,0.6990160214892094,0.6121879,1.0,7,7.1896663,1.0,0.17036505326844822,0.61420363,1.0,0.03334748202449845,0.041349396,1.0
1,0.37253829857656184,0.3275991,1.0,0.9234344479502027,0.9031593,1.0,0.6213926115355444,0.78734607,1.0,10,10.211974,1.0,0.011769776903645732,2.182838,0.0,0.3296941498374724,0.32487652,1.0
2,0.7664096011016847,0.7530061,1.0,0.9625626302920289,0.9432281,1.0,0.7273871134336489,0.6455721,1.0,4,4.4698563,0.0,0.02533617314854457,0.3521093,1.0,0.002548635449005462,0.005523835,1.0
3,0.45099084654563004,0.49427852,1.0,0.5179531611380157,0.52892774,1.0,0.5210707994522193,0.7966377,0.0,7,4.8984494,0.0,0.4782957943322931,3.7778366,1.0,0.001809714254100976,0.0104706995,1.0
4,0.6889670995029029,0.43019536,1.0,0.8727310390225481,0.80025303,1.0,0.7673470374431832,0.7372008,1.0,4,4.492637,1.0,42.95562349612564,28.683535,0.0,0.12854350356874733,0.008204932,0.0
5,0.544758726060645,0.4908587,1.0,0.7190984629019976,0.70068324,1.0,0.9145456469235265,0.90718323,1.0,11,11.248552,1.0,0.010218391533785525,0.045585364,0.0,0.0004453237629914048,0.0018920696,1.0
6,0.1899885400902065,0.3744327,1.0,0.8084513569115578,0.836481,1.0,0.781293174680157,0.7585874,1.0,6,4.8872337,0.0,9.09022236706984,13.767483,1.0,0.0002855095516825369,0.009731815,1.0
7,0.3227758776143811,0.569049,1.0,0.5577020807139823,0.62378323,1.0,0.8928604275708323,0.7787875,1.0,7,7.1335254,1.0,0.010198234743692585,0.3147084,0.0,0.09021078627345752,0.10479431,1.0
8,0.7442376785250111,0.6134611,1.0,0.5300128188967095,0.6372396,1.0,0.6610038816814701,0.74305147,1.0,10,10.338142,1.0,4.571811600235846,4.1417694,1.0,0.31712755667959885,0.34417287,1.0
9,0.5269267694772148,0.6744683,1.0,0.5326586784382468,0.61871535,1.0,0.7491928091615451,0.729449,1.0,5,5.04214,1.0,1.2263726584892787,4.0168653,1.0,0.24818322123172865,0.32426587,1.0
10,0.7060549485217318,0.66752005,1.0,0.6423569366789573,0.64285254,1.0,0.9329132760659058,0.83443457,1.0,7,7.2675567,1.0,0.07412759090628848,0.17812423,1.0,0.013833249843144569,0.013724321,1.0
11,0.7984778893815246,0.5028297,1.0,0.9485151018723592,0.7698561,0.0,0.8577471690252142,0.8542364,1.0,12,10.309906,0.0,2.341906108757595,2.0757895,1.0,0.003131471990738789,0.0034145599,1.0
12,0.1567148298481842,0.20823805,1.0,0.6295238478608276,0.62769943,1.0,0.6199269052063758,0.69397557,1.0,8,8.350963,1.0,0.05183734672208716,1.1890569,1.0,0.12480682308437681,0.1417591,1.0
13,0.28462263856449566,0.56396323,1.0,0.5863041924004326,0.60155183,1.0,0.9088143773504594,0.7415408,0.0,7,5.379468,0.0,0.1440817418153602,0.8170768,0.0,0.0009326683895412402,0.0031421923,1.0
14,0.8538618858858424,0.82366127,1.0,0.9460131651092596,0.9250446,1.0,0.5435004461735504,0.7582596,1.0,12,11.655021,1.0,0.012927911267850666,0.5032727,0.0,0.058119044707283365,0.059435394,1.0
15,0.2208822090718937,0.30521277,1.0,0.8859660683668107,0.9275536,1.0,0.8978151794202845,0.79886705,1.0,4,4.438828,1.0,0.24867866839557093,0.42809913,1.0,0.0861911267545778,0.0482666,1.0
16,0.5140130219928759,0.46293512,1.0,0.6478984311689353,0.68885547,1.0,0.5954076897943272,0.7294934,1.0,9,9.260001,1.0,0.036296508518555835,1.868116,1.0,0.295734804865315,0.27755556,1.0
17,0.5958205956970809,0.34012023,1.0,0.9290506709525626,0.8323156,1.0,0.8198151441144909,0.8098656,1.0,8,5.813382,0.0,2.959786000876113,3.962831,1.0,0.0003767735586787343,0.003929337,1.0
18,0.8051089794318652,0.62401825,1.0,0.5807176743354041,0.64582103,1.0,0.7115622033743412,0.73328644,1.0,9,9.351835,1.0,1.1000424025758704,4.1964045,1.0,0.23968625423848183,0.34582722,1.0
19,0.804132101695068,0.7836432,1.0,0.810299891585223,0.764474,1.0,0.7384552963661624,0.74613595,1.0,7,6.2919335,1.0,22.400358581148556,18.75064,1.0,0.003073386402235658,0.005800437,1.0
20,0.631844885160262,0.41497663,1.0,0.6241937580786135,0.754167,1.0,0.791399562896008,0.75349075,1.0,12,9.241049,0.0,29.039578101296115,29.489859,1.0,0.0003449993740439428,0.007813567,1.0
21,0.31614992102425743,0.47936976,1.0,0.5253789422676849,0.53859323,1.0,0.7664638370254407,0.74976647,1.0,10,10.219639,1.0,0.36959842073534366,0.19807264,1.0,0.021888047920829646,0.02394778,1.0
22,0.08908489665294494,0.48356393,1.0,0.5385704756927352,0.6810606,1.0,0.7365015186610636,0.8460254,1.0,5,8.118665,1.0,42.15978560909442,28.095604,1.0,0.000138377007263529,0.012515923,1.0
23,0.6237800615924758,0.6548515,1.0,0.5349969190537626,0.62523305,1.0,0.8789510598583541,0.7442204,1.0,7,7.3176622,1.0,0.1794676876651475,4.476335,1.0,0.4198318484303515,0.34217495,1.0
24,0.8649352316491384,0.65323883,1.0,0.5841020110144266,0.5999818,1.0,0.9171751599831668,0.8755231,1.0,4,4.3656993,1.0,9.419254854181542,15.299537,1.0,0.13472633909005402,0.21750495,1.0
25,0.6614251147017496,0.61815906,1.0,0.7214935845360004,0.5913101,1.0,0.8989832622765845,0.7580914,1.0,11,11.170978,1.0,0.13802438050826732,0.44644225,1.0,0.2092710154258508,0.08221123,0.0
26,0.08811150265295498,0.18247816,1.0,0.8981994038158476,0.92257625,1.0,0.7876241222673515,0.6371526,0.0,7,7.233489,1.0,0.18663443389198892,0.17590374,1.0,0.011658666486468629,0.008222157,1.0
27,0.6648537610660524,0.44287908,1.0,0.8041655340266487,0.7236797,1.0,0.7797616925962452,0.73354626,1.0,8,8.437089,1.0,14.066388326568777,6.7614417,1.0,0.386497619774968,0.41146857,1.0
28,0.6061628183641764,0.4291961,1.0,0.9252684047783981,0.91284734,1.0,0.5487736270837267,0.54003954,1.0,5,4.8755817,1.0,0.6461503061593418,1.0075665,1.0,0.0008405537118154749,0.0019158665,1.0
29,0.6706647472149431,0.73261315,1.0,0.7213990034844617,0.73630625,1.0,0.7486197008033516,0.6516451,0.0,11,11.048047,1.0,0.6178995684098497,2.7831054,0.0,0.0163468263939587,0.028834432,1.0
30,0.5394850409043507,0.5331198,1.0,0.7388380410687405,0.7182644,1.0,0.5662619942389168,0.59601843,1.0,11,10.103698,1.0,0.1328150723774594,0.17277329,1.0,0.0016406447035162658,0.0005400887,1.0
31,0.5987143509504078,0.75635874,1.0,0.6559649489091903,0.69284314,1.0,0.8031548863783983,0.7888656,1.0,12,10.658138,0.0,0.5509371564017793,1.012532,1.0,0.0005519773931392069,0.0009919115,1.0
32,0.36069948227841986,0.36005455,1.0,0.6161046330611708,0.6169863,1.0,0.766473182815609,0.75203407,1.0,5,7.4090753,0.0,22.586128309215272,16.644796,1.0,0.16625822632720896,0.13024774,1.0
33,0.2927911972913636,0.21349993,1.0,0.8130127707978383,0.79698646,1.0,0.5611790380797028,0.6034371,1.0,10,10.125917,1.0,0.023706189880871986,0.28019276,1.0,0.0008549389073632921,0.004784097,1.0
34,0.3203708527952388,0.098612815,0.0,0.997836338985096,0.96732664,0.0,0.596711928746817,0.67830116,1.0,8,7.804162,1.0,0.2239783766623017,0.13248976,1.0,0.0013883700160934815,0.0021740636,1.0
35,0.8442556859119487,0.70824474,1.0,0.7490957119894124,0.7162681,1.0,0.5814975107773126,0.5779785,1.0,7,6.0493846,1.0,5.124662330518616,5.089429,1.0,0.024922517959419334,0.022790156,1.0
36,0.1105338898531113,0.23923641,1.0,0.7801738728515424,0.7632836,1.0,0.5974317195308283,0.5706738,1.0,9,8.781075,1.0,42.95303314745523,40.59948,1.0,0.3503118649068301,0.27788642,1.0
37,0.27294368486642673,0.5178577,1.0,0.5434487809863968,0.56811416,1.0,0.7189610190623646,0.6931215,1.0,6,5.243637,1.0,0.016710836588974154,0.17164701,1.0,0.00014581081070222314,0.0007568278,1.0
38,0.3300430446656797,0.37249246,1.0,0.6908547125202464,0.7009557,1.0,0.5828430142248322,0.57197887,1.0,6,5.450406,1.0,0.14131448824712775,0.36768645,1.0,0.0006298911823881362,0.0010024398,1.0
39,0.6183959644275332,0.47093132,1.0,0.5262805573414782,0.67623144,1.0,0.5871022089019429,0.8491676,1.0,7,8.011915,1.0,43.91594940351144,28.168875,1.0,0.012246205469856643,0.015015102,1.0
40,0.9756959869919112,0.47714585,0.0,0.5297593951412805,0.671967,1.0,0.7677775854009348,0.8442075,1.0,9,7.9475036,1.0,12.01756792177661,27.66209,1.0,0.0005182354305789641,0.013561771,1.0
41,0.5269652402362698,0.5855488,1.0,0.6176208010985278,0.65659523,1.0,0.5088209177706164,0.738376,0.0,9,9.314384,1.0,0.023841101925087715,4.445753,1.0,0.2977577717785184,0.35294375,1.0
42,0.8586316505691803,0.4618677,1.0,0.5176579305143738,0.67977244,1.0,0.9746528537031354,0.84856486,1.0,7,8.038292,1.0,10.41893928666805,28.204247,1.0,0.0069824103465570015,0.012294243,1.0
43,0.8586140255299342,0.8317715,1.0,0.8854909360290217,0.83842665,1.0,0.9177172023232321,0.85850304,1.0,8,7.0446787,1.0,0.7189879810716323,0.928759,1.0,0.00012994609415135076,0.0014290606,1.0
44,0.15647106823202606,0.4090034,1.0,0.982387408324874,0.75707346,0.0,0.6793454822310097,0.7528424,1.0,9,6.112543,0.0,49.76345309229715,29.401222,0.0,0.05456948931623693,0.010580862,0.0
45,0.020450929397706652,0.27090117,0.0,0.5830095419826605,0.5911298,1.0,0.6141872880074386,0.7193318,1.0,12,10.220508,0.0,0.7290484063926924,0.96852595,1.0,0.002563965912188762,0.0039840513,1.0
46,0.20059743096991112,0.46843335,1.0,0.5902557493642601,0.63571733,0.0,0.7249544929241187,0.67283696,1.0,4,4.5213466,1.0,0.09866189922193629,0.21124244,1.0,0.004493633607366088,0.0033584954,1.0
47,0.6131596471904099,0.4936169,1.0,0.8826905770601026,0.8833801,1.0,0.5655941919024554,0.56939954,1.0,7,7.1921954,1.0,0.169599735516972,0.79083693,1.0,0.005022355391658689,0.0060075973,1.0
48,0.29890467800096676,0.22909263,1.0,0.6887192442567003,0.6743526,1.0,0.9900160597019185,0.9286442,0.0,5,4.644414,1.0,0.2644447210333702,0.8089956,0.0,0.00029825235405939816,0.0027499634,1.0
49,0.6445820949313845,0.4824027,1.0,0.7457652194525041,0.75232863,1.0,0.8992665457672175,0.80088216,1.0,6,5.0934067,1.0,24.623453385624753,24.808619,1.0,0.05917686267477788,0.008531485,0.0
50,0.0027027926639903166,0.30631495,0.0,0.5873962587871694,0.59941643,1.0,0.8780447328047656,0.89856917,1.0,9,8.841437,1.0,2.9157396827928093,3.7501743,1.0,0.04374631277695397,0.04857952,1.0
51,0.5133443665776931,0.7360015,1.0,0.6152272649436876,0.67876774,1.0,0.6930132138467828,0.6413197,1.0,5,5.51626,1.0,9.702730516145824,15.834385,1.0,0.04026046039775347,0.06173436,1.0
52,0.4752633653353937,0.34416035,1.0,0.8205035416255837,0.786036,1.0,0.6527925916736192,0.66206384,1.0,11,10.390162,1.0,1.1972396775013665,1.2724197,1.0,0.005307399150337477,0.005688742,1.0
53,0.7441459420650428,0.46153516,1.0,0.549530690101369,0.68286383,1.0,0.7299934032044479,0.8499773,1.0,10,7.979267,1.0,46.049754576533715,28.112305,1.0,0.050463485786013874,0.014963406,1.0
54,0.3196427681841689,0.41751805,1.0,0.9741270956700523,0.87409234,1.0,0.725759059582523,0.7539646,1.0,7,5.922138,1.0,1.357705001735073,1.152507,1.0,0.0011935081779090072,0.0009582543,1.0
55,0.6283246051214852,0.5553618,1.0,0.5959704388707421,0.5802538,1.0,0.7314097181483327,0.7307949,1.0,10,8.145547,0.0,3.7171103685655793,5.837803,1.0,0.039688514256535606,0.04772483,1.0
56,0.20084149396222428,0.25942975,1.0,0.7225274347971915,0.72217333,1.0,0.6919539890528169,0.67339975,1.0,5,5.0868278,1.0,0.2215660224695972,1.0009348,1.0,0.13579233637453958,0.15450424,1.0
57,0.973729308922721,0.6681965,0.0,0.8419390347981554,0.60973805,1.0,0.981068324527395,0.732771,0.0,6,6.187164,1.0,0.015658624225613888,4.737375,0.0,0.38271184309007267,0.32217863,1.0
58,0.6133174867310442,0.40677172,1.0,0.9650619747535882,0.91867155,1.0,0.8927955481337089,0.88274854,1.0,10,10.705258,1.0,0.5083701435009655,0.7505512,1.0,0.0013311257838534644,0.0031231884,1.0
59,0.15231297363967822,0.1677136,1.0,0.7989274904710308,0.7846416,1.0,0.7069871300028998,0.6298302,1.0,9,9.045529,1.0,0.0195330421951032,0.090254374,1.0,0.00015231836669544202,0.0026513266,1.0
60,0.551579184499814,0.6903945,1.0,0.5088039048464024,0.55339366,1.0,0.634603473936261,0.7445106,1.0,6,6.0513086,1.0,0.14095493921383764,0.35186982,1.0,0.023474149052572203,0.03372812,1.0
61,0.03629543299319349,0.3496363,1.0,0.6549680835385774,0.7197911,1.0,0.9604663682758365,0.73171085,1.0,6,6.1393213,1.0,3.862341034588153,1.4528795,1.0,0.2628927416652502,0.31927094,1.0
62,0.7067537244343862,0.6018071,1.0,0.9254093085146975,0.88404334,1.0,0.590659858850391,0.7429661,1.0,8,8.412702,1.0,0.40737596079765875,0.10305951,0.0,0.009860101720700273,0.005418311,1.0
