case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6575248384230934,0.65200377,1.0,0.8053588178830611,0.72128576,1.0,13,13.029338,1.0,6.856825047624495,15.443985,1.0,0.3710395752729947,0.42711982,1.0
1,0.6598468747851318,0.64784217,1.0,0.9547938971950588,0.9608931,1.0,16,15.726935,1.0,1.6895232254428123,1.9586002,1.0,0.0920306872490818,0.093485005,1.0
2,0.9846254057968686,0.98766613,1.0,0.5632158865061241,0.76301914,1.0,5,5.0741153,1.0,8.272420623352689,7.468767,1.0,0.19133463339174875,0.30327258,1.0
3,0.5201931589897336,0.53286326,1.0,0.5064558158893201,0.7364016,0.0,11,11.059804,1.0,14.968108842449237,9.70407,1.0,0.23111607259130978,0.37734064,1.0
4,0.9275495068312787,0.94577885,1.0,0.9148248191186429,0.8916426,1.0,5,5.2265487,1.0,5.010035436659531,3.4848516,1.0,0.07302547491829736,0.05785521,1.0
5,0.9127806590805029,0.8555322,1.0,0.8714844724168278,0.91189855,1.0,12,11.994761,1.0,2.2871668703785826,2.143568,1.0,0.018766944449854245,0.022120245,1.0
6,0.5828073803521305,0.5701515,1.0,0.7299196797874961,0.7791992,1.0,13,13.132301,1.0,1.358199576446846,1.341127,1.0,0.024745110693434203,0.018276786,0.0
7,0.6201323617066898,0.6218984,1.0,0.7603541552077042,0.7936751,1.0,16,15.755453,1.0,3.5908122010572048,5.07387,1.0,0.08288092876444197,0.10096282,1.0
8,0.9149750815263937,0.9256411,1.0,0.8197343814908444,0.757767,1.0,10,10.264226,1.0,1.4906644278334633,1.6668354,1.0,0.04195301997117548,0.040174603,1.0
9,0.652338967135087,0.6948766,1.0,0.5669766999969055,0.74770916,1.0,9,9.073887,1.0,3.050420563906018,6.520389,1.0,0.3195445099712618,0.40565473,1.0
10,0.8263052213045141,0.79629153,1.0,0.5323711300934797,0.77600235,0.0,4,4.378317,0.0,42.02923555511656,37.251923,1.0,0.011959637990978668,0.02903479,1.0
11,0.622176413045848,0.5996623,1.0,0.9935704190001861,0.848322,0.0,15,13.460253,0.0,14.923142048157999,24.583294,0.0,0.011680597666933525,0.054704368,0.0
12,0.5114336370709982,0.5202001,1.0,0.8454169514381564,0.86917055,1.0,7,7.159995,1.0,3.1014153133245097,2.4492674,1.0,0.02892138373663051,0.026111018,1.0
13,0.7401339809244023,0.71700025,1.0,0.8357315661150184,0.8801054,1.0,6,6.3088436,1.0,3.1082069641008707,3.0071957,1.0,0.056338470684234594,0.061816156,1.0
14,0.8730123006326601,0.88215494,1.0,0.6299850264298643,0.63901407,1.0,5,4.500288,1.0,5.295949295790403,5.6447597,1.0,0.01665094344616732,0.0162057,1.0
15,0.672197819412521,0.6509627,0.0,0.6365686594864122,0.73721385,0.0,9,8.367756,1.0,2.242137432513862,2.362517,1.0,0.012541375747116978,0.01207381,1.0
16,0.81961255449486,0.82070273,1.0,0.678455648351066,0.66458154,1.0,10,10.198637,1.0,1.2075948818917643,1.9802291,1.0,0.11514699721139975,0.11962233,1.0
17,0.9953744950801064,0.9939405,1.0,0.9186468625580377,0.6404563,0.0,5,5.138657,1.0,1.9088030574729438,5.212316,1.0,0.07171059673622442,0.060584594,1.0
18,0.7171306383820137,0.79220176,1.0,0.7690552853569476,0.8042198,1.0,13,11.3806305,1.0,44.74651082415697,39.461777,1.0,0.010167729912833308,0.027419405,0.0
19,0.8974790982752177,0.89081335,1.0,0.6451675994950812,0.6496623,1.0,15,15.290319,1.0,1.3167005795785736,2.1142461,1.0,0.01088462202184263,0.019016383,1.0
20,0.7410116481558013,0.6998934,1.0,0.5685232068619698,0.57207763,1.0,12,10.723782,0.0,26.836145243386724,29.96383,1.0,0.05133231201810536,0.054398134,1.0
21,0.8449496143545729,0.8605867,1.0,0.7313690400369552,0.73514616,1.0,15,15.218582,1.0,2.8972647868944166,3.5423257,1.0,0.013493248752761871,0.019127125,1.0
22,0.8158672588755719,0.8110221,1.0,0.6242429500041446,0.5793534,1.0,10,10.180135,1.0,1.1909806190135064,2.2551105,1.0,0.020258828100595233,0.03448894,1.0
23,0.6273974259273161,0.6401484,1.0,0.5173310420960359,0.5428257,1.0,14,13.412952,1.0,10.095548835525314,14.321229,0.0,0.030060390545285885,0.050535996,0.0
24,0.6728244166363735,0.6654118,1.0,0.5420546602255087,0.5501326,1.0,11,10.083959,1.0,29.65150703473732,36.943756,1.0,0.09201655371485364,0.1048987,1.0
25,0.81273377376523,0.7855885,1.0,0.9316247322425733,0.91991013,1.0,8,8.358935,1.0,3.1123244350902537,2.0515718,1.0,0.026592074187977464,0.020121705,1.0
26,0.7539098850798924,0.73915696,1.0,0.7929138850903731,0.76260924,1.0,10,10.117443,1.0,7.091321463643946,4.7649965,1.0,0.24392367818544136,0.3162837,1.0
27,0.560086271117443,0.56421155,1.0,0.8853748360122647,0.92682385,1.0,10,9.716724,1.0,2.7779443513565836,4.7206903,0.0,0.012996237855704525,0.019332519,1.0
28,0.8719690977058188,0.8962285,1.0,0.8747507791044409,0.869348,1.0,11,11.666377,1.0,6.085840113100976,3.8951046,1.0,0.0607304108776554,0.034587927,1.0
29,0.9619646923934813,0.906407,1.0,0.5650367983078769,0.56624687,1.0,13,11.962399,1.0,4.788152821483463,5.7979617,1.0,0.011985111966366407,0.014827877,1.0
30,0.9679902428529947,0.8202995,0.0,0.7002108233315263,0.7128955,1.0,15,12.959989,0.0,12.070307137222311,15.809844,1.0,0.03452810423304039,0.04882964,1.0
31,0.8113878893419697,0.7977896,1.0,0.8173194910729282,0.8085913,1.0,5,4.733325,1.0,2.9755351830722594,5.844465,1.0,0.01719815107508155,0.043178458,1.0
