case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
92,0.9634124853592438,0.91467357,1.0,0.9088754052139066,0.9111494,1.0,6,5.9033394,1.0,15.983932420839684,25.528715,1.0,7.082966990043977,11.182957,1.0,24.81949680067392,20.066471,1.0,0.0941318530925932,0.2096022,1.0
93,0.5970635561608353,0.58096737,0.0,0.6093742141140412,0.5631321,1.0,10,8.84174,1.0,7.5068642084001835,15.961084,0.0,1.1394132569713238,4.502431,0.0,8.503783608431077,30.645508,0.0,0.012099542553040505,0.036983985,0.0
94,0.6546834579642078,0.6628299,1.0,0.836419084927134,0.7750741,1.0,10,9.702972,1.0,8.881359870716244,10.608362,1.0,9.04409692051983,13.967932,1.0,7.602366402092744,21.402876,1.0,0.14722296656447295,0.18620327,1.0
95,0.9405970018493155,0.95503825,1.0,0.5591315732278537,0.70666414,1.0,11,11.331797,1.0,15.537045227077538,5.0330863,0.0,3.104975292932203,3.3742578,1.0,24.69732464087809,10.422287,1.0,0.2570084936474214,0.34194204,1.0
96,0.7108304484801393,0.7425559,1.0,0.5287962254180396,0.7142212,1.0,14,14.255092,1.0,1.8240957605990717,2.4543536,1.0,1.5067062328324956,3.807805,1.0,19.215024184805863,12.011449,1.0,0.16326951715016366,0.28657973,1.0
97,0.6319066260647985,0.5880092,1.0,0.9088591788830862,0.7191527,1.0,6,6.2349415,1.0,1.6212738187584657,6.11379,1.0,2.7416215762485825,3.4926486,1.0,38.175814350974846,10.952848,1.0,0.312729105448915,0.30169097,1.0
98,0.7053193595041086,0.76228917,0.0,0.5504389671230068,0.7248049,1.0,8,8.161484,1.0,1.9568177142405294,6.2259765,1.0,1.8446974454495568,2.0269408,1.0,3.8827596423916417,11.473285,1.0,0.29861604399098235,0.33619487,1.0
99,0.8985215894156737,0.8548668,1.0,0.9263820172401406,0.90873635,1.0,12,11.724293,1.0,33.06761882200329,19.275908,1.0,1.926744828325869,17.01612,1.0,2.377695450971148,4.034732,1.0,0.17582669371232032,0.05843824,0.0
100,0.8925384625158715,0.86924726,1.0,0.8759446906237389,0.9291903,1.0,10,10.139604,1.0,12.478713489885449,16.57606,1.0,9.992016691531825,15.665924,1.0,2.9876171801554596,11.860393,1.0,0.029539788784620394,0.062386572,1.0
101,0.608343624142998,0.5830437,1.0,0.9200761257020381,0.77926975,0.0,14,14.270273,1.0,1.8968025652950626,2.247941,1.0,9.710086218121496,15.347688,1.0,29.938826859287264,10.346355,1.0,0.2904890306033995,0.28990966,1.0
102,0.8334342492386554,0.8295101,1.0,0.5514754597314366,0.5577122,1.0,9,9.060401,1.0,1.2449511731734928,2.5594552,1.0,1.033977307164114,2.2474952,0.0,2.261070973735503,12.387155,1.0,0.0416498187074682,0.087003574,1.0
103,0.8942531911203953,0.87000704,1.0,0.67077457761749,0.63311034,1.0,6,5.1669726,1.0,10.676246983459826,18.095348,1.0,4.931277953640589,5.797786,1.0,1.6279614473111061,2.3869703,1.0,0.06340852695774743,0.11281893,1.0
104,0.7936738662776033,0.7909404,1.0,0.9017299549725826,0.84512705,1.0,11,11.038046,1.0,2.0786114109605327,3.3863738,1.0,1.4604180056773945,2.4243505,1.0,2.1758542638451006,10.901973,1.0,0.029103053253229663,0.054120682,1.0
105,0.8126212727120066,0.8530767,0.0,0.783950485940688,0.7284592,1.0,16,15.733401,1.0,2.15746415952398,6.324008,1.0,2.263970594720455,3.217835,1.0,2.3836370869109316,11.708227,1.0,0.18947888979683505,0.2879967,1.0
106,0.9296815381276022,0.9494037,1.0,0.8564206747816292,0.7021042,1.0,6,6.5264945,1.0,1.151327724286623,4.2655306,1.0,2.8523195980742786,4.849659,1.0,6.576253857860806,9.467429,1.0,0.28296235224824146,0.31860474,1.0
107,0.5710256501782971,0.569311,1.0,0.5427967986679749,0.5882776,1.0,10,9.379057,1.0,1.6695835282654825,2.2160957,1.0,3.472377211040996,4.5997424,1.0,9.251768962628338,17.890676,1.0,0.014036595078139601,0.022860697,1.0
