case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.11131766863217074,0.118064895,1.0,0.8039830509341079,0.8244369,1.0,0.6990160214892094,0.69231236,1.0,7,7.112532,1.0,0.17036505326844822,0.25888178,1.0,0.03334748202449845,0.032128874,1.0
1,0.37253829857656184,0.34575415,1.0,0.9234344479502027,0.91109514,1.0,0.6213926115355444,0.8031427,1.0,10,10.031972,1.0,0.011769776903645732,2.4716346,0.0,0.3296941498374724,0.36112452,1.0
2,0.7664096011016847,0.80024016,1.0,0.9625626302920289,0.97385937,1.0,0.7273871134336489,0.73387086,1.0,4,4.315418,0.0,0.02533617314854457,0.10447606,1.0,0.002548635449005462,0.0065537663,1.0
3,0.45099084654563004,0.48875254,1.0,0.5179531611380157,0.51567614,1.0,0.5210707994522193,0.65748817,1.0,7,6.389965,1.0,0.4782957943322931,0.3169145,1.0,0.001809714254100976,0.0008938644,1.0
4,0.6889670995029029,0.3630303,1.0,0.8727310390225481,0.8509852,1.0,0.7673470374431832,0.8778114,1.0,4,4.312041,0.0,42.95562349612564,16.990732,0.0,0.12854350356874733,0.012642353,0.0
5,0.544758726060645,0.28976083,1.0,0.7190984629019976,0.6670001,1.0,0.9145456469235265,0.9285797,1.0,11,10.2345,1.0,0.010218391533785525,0.048634764,0.0,0.0004453237629914048,0.0014394721,1.0
6,0.1899885400902065,0.34164447,1.0,0.8084513569115578,0.87663525,1.0,0.781293174680157,0.7788943,1.0,6,5.134003,0.0,9.09022236706984,17.355392,1.0,0.0002855095516825369,0.026096774,1.0
7,0.3227758776143811,0.65807706,1.0,0.5577020807139823,0.65522593,1.0,0.8928604275708323,0.8004711,1.0,7,7.004417,1.0,0.010198234743692585,0.16471499,0.0,0.09021078627345752,0.103666075,1.0
8,0.7442376785250111,0.67863095,1.0,0.5300128188967095,0.6268426,1.0,0.6610038816814701,0.73697615,1.0,10,10.145757,1.0,4.571811600235846,7.4289804,1.0,0.31712755667959885,0.39636022,1.0
9,0.5269267694772148,0.68349916,1.0,0.5326586784382468,0.6195789,1.0,0.7491928091615451,0.72537374,1.0,5,5.1063976,1.0,1.2263726584892787,6.5201526,1.0,0.24818322123172865,0.37856966,0.0
10,0.7060549485217318,0.5687391,1.0,0.6423569366789573,0.6213009,1.0,0.9329132760659058,0.93387157,1.0,7,7.03979,1.0,0.07412759090628848,0.12334554,1.0,0.013833249843144569,0.012653072,1.0
11,0.7984778893815246,0.7118659,1.0,0.9485151018723592,0.8704014,1.0,0.8577471690252142,0.84588856,1.0,12,10.409777,0.0,2.341906108757595,5.3753886,1.0,0.003131471990738789,0.021863323,1.0
