case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.11131766863217074,0.20284794,1.0,0.8039830509341079,0.8219978,1.0,0.6990160214892094,0.66544634,1.0,9,9.137479,1.0,3.677765906631457,5.857342,1.0,0.14416685429115145,0.15983705,1.0
1,0.37253829857656184,0.32627192,1.0,0.9234344479502027,0.91005737,1.0,0.6213926115355444,0.8377241,1.0,12,12.108441,1.0,1.0777163742393752,5.7818456,0.0,0.41295236420175474,0.30787024,1.0
2,0.7664096011016847,0.7477351,1.0,0.9625626302920289,0.97549194,1.0,0.7273871134336489,0.59167135,1.0,5,5.1656785,1.0,1.5326460157212232,2.776275,1.0,0.044251674854798355,0.04442196,1.0
3,0.45099084654563004,0.7180066,1.0,0.5179531611380157,0.5774953,0.0,0.5210707994522193,0.5433994,1.0,8,8.187097,1.0,5.908804936965314,5.9042754,1.0,0.03781216319043359,0.05229559,1.0
4,0.6889670995029029,0.39018768,1.0,0.8727310390225481,0.8047624,1.0,0.7673470374431832,0.7562611,1.0,5,6.020248,1.0,46.63141456633845,36.70564,0.0,0.26792579711107756,0.21465251,1.0
5,0.544758726060645,0.7081919,1.0,0.7190984629019976,0.77652895,1.0,0.9145456469235265,0.78467125,0.0,15,13.354793,0.0,1.0099723499093456,3.9200356,0.0,0.01985832566289398,0.035525743,0.0
6,0.1899885400902065,0.37959749,1.0,0.8084513569115578,0.86555076,1.0,0.781293174680157,0.7535974,1.0,7,6.3942285,1.0,22.85071169158681,26.816227,1.0,0.01619088677455446,0.029171787,1.0
7,0.3227758776143811,0.568192,1.0,0.5577020807139823,0.6802279,1.0,0.8928604275708323,0.74535215,1.0,8,8.069321,1.0,1.0090567937366297,4.1909857,0.0,0.22770713782746974,0.27804357,1.0
8,0.7442376785250111,0.645485,1.0,0.5300128188967095,0.62467897,1.0,0.6610038816814701,0.73921126,1.0,14,14.18843,1.0,16.66488641788403,9.766067,1.0,0.4056468245561207,0.37720826,1.0
9,0.5269267694772148,0.69062877,1.0,0.5326586784382468,0.6203683,1.0,0.7491928091615451,0.74390197,1.0,5,5.111411,1.0,9.105902063340732,9.443904,1.0,0.36245102474053104,0.35961235,1.0
10,0.7060549485217318,0.4444053,1.0,0.6423569366789573,0.6626751,1.0,0.9329132760659058,0.8315706,1.0,8,8.150724,1.0,2.509513534265989,3.2768126,1.0,0.09623779009432763,0.13271664,1.0
11,0.7984778893815246,0.5621103,1.0,0.9485151018723592,0.827601,1.0,0.8577471690252142,0.8844188,1.0,16,14.966324,0.0,12.256443114991134,10.76775,1.0,0.0486419164687733,0.04446033,1.0
12,0.1567148298481842,0.40415618,1.0,0.6295238478608276,0.71473366,1.0,0.6199269052063758,0.7465927,1.0,10,10.111869,1.0,2.129324312794878,3.4480455,1.0,0.26431995710606354,0.29102308,1.0
13,0.28462263856449566,0.6050303,1.0,0.5863041924004326,0.605293,1.0,0.9088143773504594,0.80418336,1.0,8,7.240212,1.0,3.4053319464366587,3.6618233,1.0,0.02788716730091209,0.025171287,1.0
14,0.8538618858858424,0.8326491,1.0,0.9460131651092596,0.91479254,1.0,0.5435004461735504,0.7302469,1.0,16,15.766768,1.0,1.125190286607625,2.866622,1.0,0.18606993006590794,0.15931268,1.0
15,0.2208822090718937,0.20772652,1.0,0.8859660683668107,0.8929925,1.0,0.8978151794202845,0.85439867,1.0,4,4.285009,1.0,4.375515836412718,5.8644423,1.0,0.22298939332556905,0.32175362,1.0
16,0.5140130219928759,0.5681946,1.0,0.6478984311689353,0.6826396,1.0,0.5954076897943272,0.73666424,1.0,11,11.162991,1.0,1.8078022936689158,5.4637666,1.0,0.39284075050141676,0.30398333,1.0
17,0.5958205956970809,0.31883383,1.0,0.9290506709525626,0.8790988,1.0,0.8198151441144909,0.8140385,1.0,9,8.297269,1.0,13.648092668679507,16.00633,1.0,0.018390726581976487,0.032259345,1.0
18,0.8051089794318652,0.6435145,1.0,0.5807176743354041,0.6371303,1.0,0.7115622033743412,0.7347456,1.0,11,11.249409,1.0,8.66238748130544,10.548008,1.0,0.356697704397242,0.37743235,1.0
19,0.804132101695068,0.6035176,1.0,0.810299891585223,0.7250984,1.0,0.7384552963661624,0.7147925,1.0,8,7.3748446,1.0,34.5781752123687,29.509398,1.0,0.04822540332108924,0.01995315,0.0
20,0.631844885160262,0.3705716,1.0,0.6241937580786135,0.8137719,1.0,0.791399562896008,0.7741715,1.0,16,14.343051,0.0,38.956722953079414,39.46628,1.0,0.017661385023023272,0.02548964,1.0
21,0.31614992102425743,0.6043702,1.0,0.5253789422676849,0.6342755,1.0,0.7664638370254407,0.72645324,1.0,13,13.100424,1.0,5.2489502789397955,3.2632895,1.0,0.11881684568498226,0.17786466,1.0
22,0.08908489665294494,0.52571076,1.0,0.5385704756927352,0.6621245,1.0,0.7365015186610636,0.80275625,1.0,5,10.4372,1.0,46.232592913328816,36.749996,1.0,0.011608922886031459,0.028522609,1.0
23,0.6237800615924758,0.6883836,1.0,0.5349969190537626,0.6242795,1.0,0.8789510598583541,0.74676305,1.0,9,9.15859,1.0,3.7667526929176254,9.349397,1.0,0.4614354168093728,0.37140688,1.0
24,0.8649352316491384,0.68645895,1.0,0.5841020110144266,0.5956375,1.0,0.9171751599831668,0.9173017,1.0,4,4.3541512,1.0,23.226961396521233,31.009924,1.0,0.2737697915281334,0.39449525,0.0
25,0.6614251147017496,0.699952,1.0,0.7214935845360004,0.6101003,1.0,0.8989832622765845,0.75009984,1.0,14,14.188303,1.0,3.338811471918518,5.5728974,1.0,0.33514394664057423,0.25028923,1.0
26,0.08811150265295498,0.13456805,1.0,0.8981994038158476,0.9208585,1.0,0.7876241222673515,0.84780663,1.0,8,8.161002,1.0,3.835110561754159,4.6217813,1.0,0.08896727996611664,0.09447084,1.0
27,0.6648537610660524,0.5915899,1.0,0.8041655340266487,0.8432705,1.0,0.7797616925962452,0.8891593,0.0,10,10.26366,1.0,27.924694131882895,20.589195,1.0,0.44423074992503253,0.3647076,1.0
28,0.6061628183641764,0.4487788,1.0,0.9252684047783981,0.9245337,1.0,0.5487736270837267,0.5435251,1.0,6,4.99192,1.0,6.784258572344856,9.0756445,1.0,0.026586501297562546,0.034185834,1.0
29,0.6706647472149431,0.69742566,1.0,0.7213990034844617,0.74712425,1.0,0.7486197008033516,0.75643957,1.0,15,15.157,1.0,6.646371378152653,10.58385,1.0,0.10390818989115187,0.14730608,1.0
30,0.5394850409043507,0.54327637,1.0,0.7388380410687405,0.7219135,1.0,0.5662619942389168,0.5794879,1.0,14,14.129786,1.0,3.280330179922762,3.4389744,1.0,0.03614656602139171,0.04143664,1.0
31,0.5987143509504078,0.7406229,1.0,0.6559649489091903,0.7094134,1.0,0.8031548863783983,0.8340569,1.0,15,14.129478,1.0,6.305270879580572,5.682008,1.0,0.021916494169953126,0.01759941,1.0
32,0.36069948227841986,0.29450807,1.0,0.6161046330611708,0.61466515,1.0,0.766473182815609,0.75505894,1.0,6,7.3353186,1.0,34.70959364780002,37.404648,1.0,0.30153275959243947,0.36459333,1.0
33,0.2927911972913636,0.22587289,1.0,0.8130127707978383,0.80747724,1.0,0.5611790380797028,0.55860907,1.0,14,14.169436,1.0,1.4865425964235917,2.67327,1.0,0.026794528408565495,0.03489386,1.0
34,0.3203708527952388,0.4238231,1.0,0.997836338985096,0.9970275,1.0,0.596711928746817,0.6058969,1.0,10,10.013223,1.0,4.1702465695933,10.525561,1.0,0.03347825924768234,0.10948961,1.0
35,0.8442556859119487,0.83734566,1.0,0.7490957119894124,0.7668241,1.0,0.5814975107773126,0.5940138,1.0,8,8.004752,1.0,17.56198027422463,20.219334,1.0,0.12611771727342533,0.15729184,1.0
36,0.1105338898531113,0.2140892,1.0,0.7801738728515424,0.7950218,1.0,0.5974317195308283,0.70861423,0.0,11,11.180507,1.0,46.63012296415477,36.83279,1.0,0.4246193788130043,0.44986317,1.0
37,0.27294368486642673,0.48216757,1.0,0.5434487809863968,0.56095344,1.0,0.7189610190623646,0.7905485,1.0,7,6.33374,1.0,1.265974809467297,1.7228808,1.0,0.011891320521804135,0.013535034,1.0
38,0.3300430446656797,0.3816266,1.0,0.6908547125202464,0.725452,1.0,0.5828430142248322,0.60013145,1.0,6,6.1408024,1.0,3.3751341042564533,2.8078828,1.0,0.0232867995883795,0.02075,1.0
39,0.6183959644275332,0.42444885,1.0,0.5262805573414782,0.7195902,1.0,0.5871022089019429,0.82820874,1.0,9,6.5622354,1.0,47.107384155053985,32.916336,0.0,0.09099924351283759,0.04391187,1.0
40,0.9756959869919112,0.5181844,0.0,0.5297593951412805,0.65202683,1.0,0.7677775854009348,0.80460787,1.0,12,10.222064,1.0,25.97689875357873,36.44198,1.0,0.02129063859651114,0.028727947,1.0
41,0.5269652402362698,0.6036926,1.0,0.6176208010985278,0.6685721,1.0,0.5088209177706164,0.7427976,0.0,12,12.164841,1.0,1.4904223530197216,6.757915,1.0,0.3940727391539348,0.31365812,1.0
42,0.8586316505691803,0.55155385,1.0,0.5176579305143738,0.5416648,1.0,0.9746528537031354,0.804739,1.0,9,5.14601,0.0,24.328387606672308,17.256395,1.0,0.07030207720429238,0.032543596,1.0
43,0.8586140255299342,0.81638783,1.0,0.8854909360290217,0.84502566,1.0,0.9177172023232321,0.8852162,1.0,11,10.057158,0.0,7.125393451657732,7.8988066,1.0,0.01127852922116491,0.016106965,1.0
44,0.15647106823202606,0.2797561,1.0,0.982387408324874,0.89850867,1.0,0.6793454822310097,0.67421675,1.0,12,13.434993,1.0,49.89121259149396,42.52302,0.0,0.18076134404992333,0.16331604,1.0
45,0.020450929397706652,0.14463894,1.0,0.5830095419826605,0.60737777,0.0,0.6141872880074386,0.63873124,1.0,16,14.157942,0.0,7.171015443535332,9.994532,1.0,0.04437373602682238,0.056570582,1.0
46,0.20059743096991112,0.27787408,1.0,0.5902557493642601,0.6102074,1.0,0.7249544929241187,0.6986401,1.0,4,4.3234305,1.0,2.8616844474700676,5.6448593,0.0,0.05741863773308303,0.09070857,0.0
47,0.6131596471904099,0.5673575,1.0,0.8826905770601026,0.86774457,1.0,0.5655941919024554,0.55102736,1.0,8,8.127899,1.0,3.6701682688167137,5.395306,1.0,0.06042852581367086,0.07475319,1.0
48,0.29890467800096676,0.5888672,1.0,0.6887192442567003,0.75318813,1.0,0.9900160597019185,0.96331394,1.0,5,4.589683,1.0,4.500814779398881,8.160015,1.0,0.016518880846763624,0.04343846,1.0
49,0.6445820949313845,0.4471657,1.0,0.7457652194525041,0.671008,1.0,0.8992665457672175,0.87026894,1.0,7,5.1123924,0.0,36.11410931465541,23.243813,0.0,0.18761785957553703,0.06556586,0.0
50,0.0027027926639903166,0.6079983,0.0,0.5873962587871694,0.6871954,0.0,0.8780447328047656,0.95515186,0.0,12,12.022012,1.0,13.55442637711468,12.188596,1.0,0.16330821379592345,0.16268855,1.0
