case,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
141,9,9.015395,1.0,22.197451739416646,20.00804,1.0,1.0978675023327729,1.5739155,1.0,17.242037266946795,13.480875,1.0,0.43145921657945235,0.37238225,1.0
142,11,11.009104,1.0,6.346246723477764,5.2776623,1.0,1.8320493029437042,1.6663773,1.0,33.48144370624203,9.049498,1.0,0.04421214616983726,0.036395676,1.0
143,9,8.948908,1.0,2.7051169182573696,3.540937,1.0,42.1997992384977,45.08582,1.0,5.5288957322047105,6.113591,1.0,0.04143006488296954,0.05210158,1.0
144,9,8.725222,1.0,15.500166663611159,15.491377,1.0,1.290116000268665,5.374645,1.0,40.85190402064886,27.914314,1.0,0.01160255429913784,0.016385807,1.0
145,4,4.1818795,1.0,18.83301313643792,16.617737,1.0,1.591798703891547,10.513736,1.0,4.668196510900832,3.486972,1.0,0.01950178587753584,0.016885497,1.0
146,6,5.8855715,1.0,1.0692863714458896,1.3818984,1.0,4.645022087184102,4.3614826,1.0,5.2506999515551405,13.793601,1.0,0.02855322877260786,0.038286503,0.0
147,6,5.946653,1.0,21.205892319241574,27.151752,0.0,43.06142244028697,17.143934,0.0,35.27921082521666,26.688478,1.0,0.04335618664213564,0.072086,0.0
148,11,10.831496,1.0,49.970624400820356,42.88261,1.0,37.67914909939249,16.670395,1.0,42.05968597325774,41.642807,1.0,0.05135194037650159,0.023709767,0.0
149,6,5.843913,1.0,19.36022372984116,17.512823,1.0,1.4901570602621093,7.9688554,1.0,26.421662722037222,27.736372,1.0,0.04810913336020808,0.038307335,1.0
150,14,9.740389,0.0,16.993103110427825,27.748062,0.0,3.345406049659413,3.9239805,1.0,3.5207834469283945,6.0491314,1.0,0.13127637306946766,0.21866518,1.0
151,13,12.982933,1.0,2.62494540092243,2.6485062,1.0,1.054252547470607,1.2348125,1.0,12.040317084874745,17.341873,1.0,0.03636382311630234,0.04151424,1.0
