case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
24,0.9339701544772008,0.94328636,1.0,0.8895839805708722,0.70610297,1.0,10,10.57628,1.0,28.21434029999489,54.047054,1.0,5.217640295219703,8.030608,1.0,2.8353212440712134,2.8329923,1.0,1.9678229308542625,13.283838,1.0,0.42499317328246056,0.3124372,1.0
25,0.7036763606331353,0.71445876,1.0,0.8585232638828217,0.87421656,1.0,6,5.6062756,1.0,23.578159224981924,31.113558,1.0,2.7596847982130623,5.2365193,1.0,3.9800743737094355,5.5194902,1.0,17.59791633310988,12.69182,1.0,0.023964469267011682,0.04028862,1.0
26,0.9383110085982893,0.7970613,1.0,0.6762186683173084,0.6403585,1.0,16,14.178254,0.0,41.536668045901024,52.204025,1.0,11.713428169436112,17.882166,1.0,3.2856248885519164,12.700569,1.0,11.715829472799596,29.491766,1.0,0.017582242824013807,0.024256576,1.0
27,0.5004467103846033,0.5163869,1.0,0.9766783913266162,0.96032923,1.0,6,7.2052326,1.0,42.24301260780195,56.450104,1.0,37.20092440594859,23.36609,1.0,9.552050275684767,5.350447,1.0,24.523761801460818,19.488722,1.0,0.288296833746743,0.1640332,1.0
28,0.9605976664943728,0.9584586,1.0,0.8811408113531494,0.7935991,1.0,12,12.646522,1.0,95.50641055170667,72.02565,1.0,5.766624924920896,15.548309,1.0,14.037255567281631,21.702074,1.0,8.154807673051682,11.489539,1.0,0.1448947131000959,0.2666559,1.0
29,0.808076261787126,0.89077675,0.0,0.9783662948847347,0.7934481,0.0,5,5.3142023,1.0,73.0367713455434,64.22588,1.0,21.02072642589977,34.55495,1.0,1.093689523128016,2.546707,1.0,1.2291653267284668,11.98458,1.0,0.28712623815323146,0.37439957,1.0
30,0.8458763915028988,0.8153268,1.0,0.5010463642794816,0.621222,0.0,16,15.441434,1.0,10.054942801150684,39.747753,1.0,2.4491124786029674,7.443828,1.0,13.404706406654128,10.545718,1.0,5.650346744401579,4.2314777,1.0,0.07603342439454011,0.12987708,1.0
31,0.5042878763294504,0.6583535,1.0,0.9070720110971752,0.8536886,1.0,5,9.75191,1.0,29.802688147596317,60.462494,1.0,36.18058266753657,30.287836,1.0,17.486802860707762,17.555372,1.0,7.331462541898781,4.273499,1.0,0.06538747242506159,0.057933614,1.0
32,0.5696791460359454,0.5851527,1.0,0.5883380157171075,0.73543626,1.0,15,15.3482,1.0,95.95879692216288,52.84565,0.0,4.06142000801995,12.857688,1.0,7.69644024075524,17.614653,1.0,1.1582671522813446,2.8222435,1.0,0.11444908466438823,0.29408684,1.0
33,0.8063847818273564,0.7954645,1.0,0.6131490121865598,0.5453004,0.0,10,6.312219,0.0,75.49738565070462,58.47686,1.0,11.101313689985055,29.039345,0.0,1.151976444383498,3.3381226,1.0,48.35262716363235,27.010643,1.0,0.018437020685080078,0.029022627,1.0
34,0.9615688071331094,0.9342503,1.0,0.8724515368067177,0.9050858,1.0,6,6.6494555,1.0,75.81652984990495,33.80562,1.0,1.3133317525567967,4.4657326,1.0,2.9619049537193822,14.149829,0.0,1.5744674960341276,11.294507,1.0,0.0198073071963158,0.0916386,1.0
35,0.7741017727113944,0.8695648,1.0,0.6940242828054464,0.76787394,0.0,14,12.305224,0.0,39.355701803968934,50.457333,1.0,18.158577253737633,16.064146,1.0,23.398252934615417,15.680515,1.0,20.88537012359221,20.788103,1.0,0.01581804465619325,0.024832468,1.0
