case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6575248384230934,0.6592978,1.0,0.8053588178830611,0.71127874,1.0,13,13.1413145,1.0,6.856825047624495,12.921818,1.0,0.3710395752729947,0.41220397,1.0
1,0.6598468747851318,0.6416052,1.0,0.9547938971950588,0.9577604,1.0,16,15.833558,1.0,1.6895232254428123,1.3138354,1.0,0.0920306872490818,0.08002123,1.0
2,0.9846254057968686,0.99222475,1.0,0.5632158865061241,0.7334602,1.0,5,5.221322,1.0,8.272420623352689,5.9463096,1.0,0.19133463339174875,0.2513603,1.0
3,0.5201931589897336,0.53656447,1.0,0.5064558158893201,0.72486687,0.0,11,10.96999,1.0,14.968108842449237,9.7246275,1.0,0.23111607259130978,0.35994136,1.0
4,0.9275495068312787,0.92177427,1.0,0.9148248191186429,0.90239614,1.0,5,5.251238,1.0,5.010035436659531,3.2466006,1.0,0.07302547491829736,0.06270531,1.0
5,0.9127806590805029,0.8741135,1.0,0.8714844724168278,0.8451141,1.0,12,11.947999,1.0,2.2871668703785826,2.0166304,1.0,0.018766944449854245,0.020312615,1.0
6,0.5828073803521305,0.57777935,1.0,0.7299196797874961,0.72845715,1.0,13,12.666676,1.0,1.358199576446846,1.2101314,1.0,0.024745110693434203,0.019917302,0.0
7,0.6201323617066898,0.6186077,1.0,0.7603541552077042,0.7421709,1.0,16,15.842948,1.0,3.5908122010572048,4.162602,1.0,0.08288092876444197,0.088110976,1.0
8,0.9149750815263937,0.90898925,1.0,0.8197343814908444,0.77997386,1.0,10,10.199748,1.0,1.4906644278334633,1.3881829,1.0,0.04195301997117548,0.03573067,1.0
9,0.652338967135087,0.7036959,0.0,0.5669766999969055,0.73724616,1.0,9,8.995682,1.0,3.050420563906018,5.4177337,1.0,0.3195445099712618,0.3972369,1.0
10,0.8263052213045141,0.80858237,1.0,0.5323711300934797,0.7731623,0.0,4,4.367628,1.0,42.02923555511656,39.003223,1.0,0.011959637990978668,0.029918587,1.0
11,0.622176413045848,0.62741846,1.0,0.9935704190001861,0.86220366,0.0,15,14.151709,0.0,14.923142048157999,23.189333,0.0,0.011680597666933525,0.044367637,0.0
12,0.5114336370709982,0.51938653,1.0,0.8454169514381564,0.9283009,1.0,7,7.10738,1.0,3.1014153133245097,2.1328015,1.0,0.02892138373663051,0.020755516,1.0
13,0.7401339809244023,0.71506286,0.0,0.8357315661150184,0.85073155,1.0,6,6.3327384,1.0,3.1082069641008707,2.853893,1.0,0.056338470684234594,0.06161242,1.0
14,0.8730123006326601,0.9302438,1.0,0.6299850264298643,0.6369376,1.0,5,4.3658266,0.0,5.295949295790403,4.8221893,1.0,0.01665094344616732,0.0135405855,1.0
15,0.672197819412521,0.6518534,0.0,0.6365686594864122,0.73142993,0.0,9,8.26044,1.0,2.242137432513862,2.1902828,1.0,0.012541375747116978,0.011692686,1.0
16,0.81961255449486,0.81488144,1.0,0.678455648351066,0.6416059,1.0,10,10.262218,1.0,1.2075948818917643,1.7802861,1.0,0.11514699721139975,0.113813005,1.0
