case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
117,0.8043582087293423,0.8504705,1.0,0.5277223371538271,0.54148996,1.0,0.7097616894118425,0.6974688,1.0,12,10.665873,1.0,4.025931016918426,4.48326,1.0,0.010980808308856381,2.4068117,0.0,0.0004963093765069118,0.0038495294,1.0
118,0.48949224200465025,0.3485811,1.0,0.9533283340155492,0.95978725,1.0,0.5836432554517926,0.7173329,1.0,15,15.145363,1.0,0.5649509125538473,1.1002407,1.0,0.1032264095473895,0.14937288,1.0,0.00822318462937224,0.010752702,1.0
119,0.33981698884904343,0.33631665,1.0,0.9430548274735792,0.9092752,1.0,0.8342148683720237,0.8524237,1.0,12,12.09095,1.0,0.4913385847748861,0.6307312,1.0,0.37431534106587017,0.41937208,1.0,0.00108558867002082,0.002547037,1.0
120,0.912308269892756,0.50181234,0.0,0.8011582913135956,0.7267038,1.0,0.6875754509336357,0.72924745,1.0,7,6.180269,1.0,1.022152407398328,0.27755052,0.0,4.8957742193726235,6.5558867,0.0,0.00012474163580491663,0.0008862569,1.0
121,0.6285570770215418,0.53204226,1.0,0.5833614484246603,0.7011113,1.0,0.803832777200819,0.6670412,1.0,13,13.188102,1.0,0.12778478426446732,0.11910165,1.0,0.023780330938251038,0.10263178,1.0,0.00013827192040453902,0.001261795,1.0
122,0.3842332246266723,0.36013928,1.0,0.803590460803603,0.82883096,1.0,0.7949471364463176,0.70958036,1.0,4,4.3608875,1.0,0.202554228917129,0.1445989,1.0,0.034814632289431074,0.6429363,1.0,0.038893611909610576,0.024973022,1.0
123,0.7330037185223226,0.498823,1.0,0.7340750719140059,0.7932568,1.0,0.5055454530555715,0.5069226,1.0,11,11.234027,1.0,0.0269228070916464,0.04627675,1.0,3.4775205410493295,3.851536,1.0,0.0003798514249526741,0.00071560015,1.0
124,0.10951657049488006,0.32379967,1.0,0.9752942474559045,0.96740526,1.0,0.5382748728011699,0.79396135,1.0,5,4.9911203,1.0,2.311505335814077,3.0693629,1.0,0.043915148070259404,0.09479799,1.0,0.002366665801457694,0.008153561,1.0
125,0.7362054645145478,0.5876475,1.0,0.6129372727411238,0.61018944,1.0,0.550699450348964,0.51628256,1.0,8,8.368027,1.0,0.02604914587840425,0.27096453,1.0,4.413477170697303,4.126001,1.0,0.022326133615295167,0.021967083,1.0
126,0.9345963281790118,0.94786793,1.0,0.5488121260054214,0.5713916,1.0,0.6757685327357922,0.6926805,1.0,5,8.635822,0.0,5.457811546558274,5.4313116,1.0,0.8276048402574512,10.171756,1.0,0.013644072558662049,0.003580045,1.0
127,0.059731788197840974,0.33939368,0.0,0.7357340848585239,0.85613036,1.0,0.5173304256012552,0.7023161,1.0,6,6.1830816,1.0,0.06780062939842635,0.10832503,1.0,0.33511572204223167,0.14326651,1.0,0.002622028278425706,0.0069262735,1.0
128,0.37843725145376605,0.26008675,1.0,0.5461565644950064,0.5647937,1.0,0.640672115623812,0.75588024,1.0,15,13.639705,1.0,4.202861804865002,7.20421,0.0,0.20339476884194066,1.8779912,1.0,0.003893297322629149,2.9469538,1.0
129,0.08559052904159992,0.31176782,1.0,0.7978090976638625,0.9010806,0.0,0.92878565423903,0.7885627,0.0,16,15.474429,1.0,2.6299277449556846,2.8267612,1.0,0.14904384875293142,1.2998431,0.0,0.0012234947386485214,0.011383241,1.0
130,0.7245724721929656,0.45630756,0.0,0.9994833693575579,0.8723317,0.0,0.6264638456502549,0.7724158,1.0,15,15.25845,1.0,0.09244065642911678,0.26856628,1.0,0.026628728283870116,0.09367055,1.0,0.00047782078370628986,0.012233102,1.0
131,0.5375494749677262,0.3804305,1.0,0.9927526431266906,0.90972537,0.0,0.6152943432582226,0.7463092,1.0,14,14.447422,1.0,0.09581643644764072,0.16779184,1.0,0.047375583473375754,0.07235675,1.0,0.0006003830913520304,0.007016285,1.0
132,0.4709285201655917,0.57934576,1.0,0.7824309570351753,0.802096,1.0,0.6382116833613374,0.6472152,1.0,8,6.6790643,0.0,1.7187151805055623,0.47650206,0.0,1.0687466298721244,1.1923299,1.0,0.0014491522951842752,0.0007725111,1.0
133,0.4012237839819658,0.47452474,1.0,0.9964725859126328,0.8326415,0.0,0.5069563837882272,0.51220936,1.0,15,13.836937,1.0,0.03765038726677705,0.063310236,1.0,3.692530572297108,4.2122273,1.0,0.00012183916050259607,0.0005886492,0.0
134,0.32629953613043927,0.6074952,1.0,0.7526154060071444,0.7161985,1.0,0.846414563530711,0.7425675,1.0,5,5.0712347,1.0,0.06394013713699928,0.17493574,1.0,0.013153673294365582,0.27471742,0.0,0.03157995600614576,0.02672188,1.0
135,0.4182887739916733,0.4197873,1.0,0.7891413137750578,0.79197884,1.0,0.6290934379276859,0.69486827,1.0,14,14.307165,1.0,0.25728161691694335,0.20073965,1.0,0.02127725569478295,0.07410933,1.0,0.0009445625015498682,0.0012756011,1.0
136,0.422337284780693,0.5668645,1.0,0.6341236013089089,0.66106343,1.0,0.5695918829621065,0.71021575,1.0,10,10.118375,1.0,0.011065597050932975,0.09902153,1.0,0.04113049855143814,0.14977859,1.0,0.0025187495274260883,0.003699522,1.0
137,0.06274016072139554,0.6890785,0.0,0.5079393617322286,0.6295935,1.0,0.5787218517236509,0.7315096,1.0,5,5.0487685,1.0,0.4086423813205794,0.2837013,1.0,0.49978113120397816,0.16445236,1.0,0.017598868347524235,0.021739848,1.0
138,0.7869951974224315,0.5422301,1.0,0.5320216450380599,0.6310173,1.0,0.5489326667526273,0.72912204,1.0,9,9.268263,1.0,1.2244708546365868,0.55354846,1.0,0.028871523856860194,0.079896346,1.0,0.0013591516505285699,0.005614699,1.0
139,0.06355857179623559,0.18048383,1.0,0.760514627868788,0.78624046,1.0,0.5480766878204546,0.6866481,1.0,6,7.0835257,0.0,0.510852349185152,0.44043732,1.0,0.018956875161220126,0.2870334,0.0,0.0002071462485342974,0.0051917606,1.0
140,0.13130072938859616,0.17823923,1.0,0.7753825944162942,0.8002439,1.0,0.6108258881743163,0.5892742,1.0,12,11.898518,1.0,1.0336839025632807,1.5989563,1.0,0.30655089695983806,0.35978645,1.0,0.0007377759894114492,0.0020701066,1.0
141,0.9249400676289488,0.52230686,1.0,0.904595552916457,0.70431286,1.0,0.8160455972336167,0.7197243,1.0,12,12.187686,1.0,0.015785966804165445,0.095326215,1.0,0.05977770776782077,0.06537658,1.0,0.00020234426914840433,0.0015149087,1.0
142,0.30964922210150647,0.5395205,1.0,0.6736159513198627,0.6880265,1.0,0.5106220336780145,0.71346724,0.0,12,12.222053,1.0,0.01964508882233476,0.11684506,1.0,0.03550980135999018,0.14414002,1.0,0.002963947615023785,0.0057937074,1.0
143,0.6976374517992128,0.7415549,1.0,0.5333941147775421,0.60218716,1.0,0.8890446084256244,0.9163553,1.0,9,7.703343,1.0,1.1542231564889471,0.6583669,1.0,1.5567738880005977,2.1237314,1.0,0.00236073726648632,3.1358325,1.0
144,0.08904579152575487,0.3626854,1.0,0.7099915352312656,0.77401054,1.0,0.9855507563298236,0.93558556,0.0,7,5.923541,1.0,0.17907458754926805,3.0903628,1.0,7.3994107256763675,8.487342,1.0,0.0034193909863945355,0.011342683,1.0
145,0.9162483838173736,0.7469254,1.0,0.8997181226672084,0.77480197,0.0,0.9894847159396946,0.778694,0.0,5,4.616362,1.0,0.7504640104765844,2.061582,1.0,0.03540212999608041,0.13423294,1.0,0.0005950428805091983,0.009605897,0.0
146,0.13752642754726718,0.63655436,1.0,0.5391131234446342,0.6069533,1.0,0.6911480623826995,0.7234945,1.0,6,6.293143,1.0,0.011348810853626932,0.18971072,1.0,0.021222136173102615,0.056736853,1.0,0.0001790375105161929,0.002377052,1.0
147,0.8949361105904643,0.7723526,1.0,0.786404964634754,0.69552594,1.0,0.6910641548793103,0.68684536,1.0,8,7.473663,1.0,9.957460314134227,8.058826,1.0,0.06862932644685543,0.15961505,1.0,0.0003610186130757071,0.0011701704,1.0
148,0.4205987333283516,0.577256,1.0,0.54566503793794,0.629937,1.0,0.8335442743216089,0.9313721,0.0,11,8.908985,0.0,2.0464537507161564,0.8682905,0.0,2.2404314803196774,6.167241,1.0,0.005635333921985713,60.589897,1.0
149,0.5361437021106622,0.58218306,1.0,0.7804104540583905,0.79409766,1.0,0.6983294536694291,0.73807657,1.0,8,8.149809,1.0,0.06390020360325988,0.17828763,1.0,0.03330134559198817,0.09753633,1.0,0.00010478225548906212,0.0047321715,0.0
150,0.07469796868163425,0.4543174,1.0,0.5576410477556135,0.631866,1.0,0.956715929909489,0.8618536,1.0,8,6.7931476,1.0,9.693795376581239,4.017164,1.0,8.652299529587605,8.123638,1.0,0.002218551853881581,0.0032141907,1.0
151,0.275258081288526,0.4345931,1.0,0.7895569404626754,0.8635836,1.0,0.7913536841290308,0.76725006,1.0,11,10.292682,1.0,0.15247666749139224,0.20278125,1.0,0.9330808946944547,1.2811897,1.0,0.0003793270979669625,0.0014690008,1.0
152,0.1498391058508982,0.202325,1.0,0.7827554545546502,0.8354967,1.0,0.5296471394540718,0.5171986,1.0,9,7.9373837,1.0,0.3858017198100955,140405.33,1.0,2.3165187869065007,2.8903873,1.0,0.0006924717479766071,0.0014997118,1.0
153,0.6127445260464489,0.4752976,1.0,0.9105956919874886,0.8904446,1.0,0.904931258202063,0.77164674,1.0,15,14.936013,1.0,1.8792936319203501,3269.647,1.0,0.030165601190733582,0.088376254,1.0,0.0002246835386623052,0.007098542,1.0
154,0.957154331709694,0.91136426,1.0,0.6949498572449333,0.76301086,1.0,0.521727605733455,0.51265204,1.0,9,12.0295315,1.0,0.2932817870177988,0.24703422,1.0,2.401717579981184,2.0957243,1.0,0.001651978450555813,0.0022345316,1.0
155,0.5039946484799542,0.4959111,1.0,0.7348020656535732,0.7316505,1.0,0.5328256057645497,0.6077612,1.0,9,9.016122,1.0,3.992764097891536,1.8894814,1.0,2.3164980095749574,0.41758445,0.0,0.02522564320321476,0.005362537,0.0
156,0.7724480617050481,0.5711188,1.0,0.8059338304869132,0.71338344,1.0,0.9219815900997528,0.889446,1.0,5,5.1373777,1.0,0.07263175136508128,0.10488738,1.0,0.6517372845891856,1.2829776,1.0,0.013263940314819858,0.019513657,1.0
157,0.4976975633643308,0.16288525,0.0,0.6198658946132352,0.6054112,1.0,0.741694752734989,0.67980385,1.0,6,5.592285,1.0,4.99535454890955,4.7814507,1.0,2.2598084878931735,4.002369,1.0,0.0014782542594064523,0.0020328227,1.0
158,0.7139739866958544,0.43901947,1.0,0.9607816963164204,0.90507156,1.0,0.5185980603376223,0.5167356,1.0,15,14.408827,1.0,2.3457409563802005,7655.8013,1.0,3.1619948632804995,2.9686494,1.0,0.0013651998568438974,0.0007250601,1.0
159,0.8891818720721325,0.48488057,0.0,0.9315412309654565,0.76421094,1.0,0.5258010110819815,0.7210144,1.0,15,15.154615,1.0,0.02029752499053053,0.12607007,1.0,0.06475517992955125,0.06931987,1.0,0.0010577823766299344,0.006623479,1.0
160,0.27152128410642595,0.3000306,1.0,0.8792346628584444,0.9035851,1.0,0.7206812253325368,0.7339806,1.0,9,9.018194,1.0,0.245359574180713,0.16297902,1.0,0.122749191382119,0.11896189,1.0,0.03347882496783307,0.024768673,1.0
161,0.3428204696693523,0.23871543,1.0,0.9931169505865937,0.8759967,0.0,0.5757414592525458,0.7830291,0.0,12,10.075724,0.0,3.4062916120649605,4.541574,1.0,0.5713098650711642,0.08031398,0.0,0.0018463879328685718,0.0043377997,1.0
162,0.10693166223414574,0.2353305,1.0,0.9233631386989536,0.92834485,1.0,0.8762514274173047,0.68973535,1.0,9,8.914387,1.0,0.1259580510091393,0.19585033,1.0,0.7215578486761708,1.6992584,0.0,0.021190819341086516,0.02904762,1.0
163,0.8032632707204234,0.52510536,1.0,0.6724981196068944,0.6280686,1.0,0.9955082680269802,0.78552574,0.0,13,12.06,1.0,4.473874267650139,4.445318,1.0,0.060344196970599895,0.06929984,1.0,0.00015292022579675637,0.000502777,1.0
164,0.12510186356945507,0.48576558,1.0,0.6818904799230826,0.7402126,1.0,0.7540255998706469,0.77240855,1.0,4,4.588958,1.0,0.019331438208214723,0.046732582,1.0,1.6662128401492402,1.9895107,1.0,0.00015164388845632652,0.00074075756,1.0
165,0.5801101393379208,0.36610344,1.0,0.9241586952828806,0.85502523,1.0,0.9832158807918596,0.9724328,1.0,14,13.425933,1.0,3.244613209931897,4.3566647,1.0,0.03060244835312856,0.08840013,1.0,0.0030128758679872306,0.00941363,1.0
166,0.3674352579707205,0.53863084,1.0,0.9098967220174354,0.68320775,1.0,0.9921290152431743,0.9632679,1.0,11,11.136814,1.0,0.011221233293338299,0.08710389,1.0,0.6376804347657218,0.9922783,1.0,0.0012312965679865172,0.005155172,1.0
167,0.9379248882854995,0.8059404,1.0,0.857320827883572,0.7271278,1.0,0.5911976595659942,0.8377551,1.0,8,7.768264,1.0,0.6164786138525777,1.319704,1.0,0.2768150545440721,0.07973035,1.0,0.009168502834502209,0.008501,1.0
168,0.4110547253235617,0.4320417,1.0,0.7188279474672472,0.749621,1.0,0.8799899238951274,0.8061987,1.0,12,12.191051,1.0,1.6240462366085573,1.9093815,1.0,0.14401264614548012,0.10111551,1.0,0.010222312186684774,0.013419184,1.0
169,0.7462127442370106,0.32814252,1.0,0.8336712018759244,0.69846714,0.0,0.9315325465892785,0.9481861,1.0,13,12.49745,1.0,4.108255145762813,5.6719923,1.0,0.03069520227551246,0.09661146,1.0,0.0030872309226808825,0.009970465,1.0
