case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
52,0.7081590583960056,0.70101744,1.0,0.7340290957534157,0.75671095,1.0,0.7356894728849493,0.6951653,1.0,0.607267532038691,0.59351635,1.0,10,8.899144,0.0,10.545925022270445,62.146812,0.0,30.284396568744132,7.7606654,0.0,0.0512175387377002,0.01648418,0.0
53,0.9673588172403917,0.8410297,1.0,0.5842602790024006,0.77520484,0.0,0.22602804039774893,0.38125482,1.0,0.012920313538597017,0.26645887,0.0,11,10.454824,1.0,36.71922608554881,63.223625,1.0,44.11110835580674,29.88825,0.0,0.012673443590831527,0.032879777,1.0
54,0.7364698392200051,0.72195035,1.0,0.580416708868615,0.5885376,1.0,0.8206444800289467,0.7960517,1.0,0.288563661290522,0.4065795,1.0,8,7.1958385,1.0,34.253083615951184,54.158703,1.0,2.13315550361011,3.0888362,1.0,0.015054400515944167,0.020419234,1.0
55,0.7810651940216262,0.66844785,1.0,0.931258838631221,0.9606409,1.0,0.9424677766333398,0.51580614,0.0,0.4451279476382257,0.43467054,1.0,9,9.300163,1.0,28.67228013936422,48.98231,1.0,20.17484746302967,19.893078,1.0,0.27217072578343215,0.2978317,1.0
56,0.6555965200960091,0.7005339,1.0,0.5963546992775429,0.65113866,1.0,0.045069724686057855,0.6231699,0.0,0.8607649355365943,0.6052622,1.0,4,4.130934,1.0,97.87237451823113,58.429783,0.0,27.37801425361573,31.650726,1.0,0.023817327968935667,0.029831147,1.0
57,0.9239526832990309,0.8999613,1.0,0.6637822196382009,0.6626746,1.0,0.46056083753942123,0.36829647,1.0,0.004840926685829694,0.055326216,1.0,7,4.629388,0.0,66.73165751809864,35.356533,1.0,4.951849866287203,7.8899083,1.0,0.02191055189414166,0.020003162,1.0
58,0.5219547889894351,0.5895724,1.0,0.745540999827716,0.6905393,1.0,0.9510588106697199,0.75381124,1.0,0.09844366311829644,0.55544716,1.0,5,5.036412,1.0,98.57952997808552,63.66688,0.0,4.527207104228222,9.895422,1.0,0.09713350049903034,0.28265655,0.0
59,0.8841520086308237,0.8836703,1.0,0.6876929038091277,0.69070935,1.0,0.21400381321742956,0.22079223,1.0,0.813095592897354,0.5988777,1.0,8,8.116778,1.0,76.38254866041552,53.48618,1.0,2.785380422392823,6.24716,1.0,0.11877348402925625,0.12613049,1.0
60,0.9165031365504664,0.8779442,0.0,0.5289179966431257,0.65704536,1.0,0.18538153879687524,0.15586749,1.0,0.4181485590185853,0.5006016,1.0,4,4.1724358,1.0,34.15378148374723,56.368656,1.0,2.4537370909635694,1.7741729,1.0,0.058947208019200156,0.09562094,0.0
61,0.6687478837209158,0.63535583,1.0,0.7023719352220898,0.71814615,1.0,0.4679285599879036,0.28493553,1.0,0.16572321586091732,0.5056578,1.0,5,5.0595765,1.0,20.942011397741553,42.45083,1.0,2.417480492793624,3.65816,1.0,0.20448081647402952,0.15409161,1.0
62,0.5313173174250214,0.5889606,1.0,0.7140453926865413,0.6924606,1.0,0.01581350889641131,0.69278854,0.0,0.40365628933492825,0.31158108,0.0,14,14.218785,1.0,33.51291929476598,58.73996,1.0,31.224691354943037,22.684948,1.0,0.24300699678171275,0.1840777,1.0
63,0.9431407927880436,0.9345171,1.0,0.9711080402155432,0.94657075,1.0,0.08953604934301151,0.37616822,0.0,0.6043000656073954,0.57279676,1.0,6,5.9204373,1.0,10.384840650928407,33.595055,0.0,7.663150701348244,5.1477537,1.0,0.02818604852636365,0.029957382,1.0
64,0.8259480812882884,0.7966372,1.0,0.5800887056531366,0.7125357,1.0,0.36994065793504927,0.304548,0.0,0.8996749482892041,0.5116118,1.0,9,9.241144,1.0,92.03772496591887,54.177433,1.0,12.74218762834254,4.3378296,0.0,0.37967301509188106,0.2573026,1.0
65,0.5624687725180191,0.5853304,1.0,0.8010315346574791,0.64070624,0.0,0.039180842142734984,0.22541998,1.0,0.5204455281754953,0.3309521,1.0,11,9.651136,0.0,88.75160772867534,68.53398,1.0,31.765865890902198,20.434395,1.0,0.10065087750697878,0.023402058,0.0
66,0.8473210465832159,0.8175536,1.0,0.5707673063080507,0.7380059,1.0,0.33605470690657424,0.3481326,1.0,0.6260635486702738,0.49093658,1.0,13,13.037453,1.0,56.59283416212637,55.466003,1.0,1.2641400568080245,4.0509105,1.0,0.20749565855603758,0.2847824,1.0
67,0.786770693860765,0.8838505,1.0,0.7415476775616063,0.82801604,0.0,0.04339981421384409,0.25503582,1.0,0.2446427816111536,0.24143791,1.0,13,11.50334,0.0,96.56640340543602,69.767715,0.0,3.5256120001908746,7.682883,0.0,0.012719142558882344,0.037599158,0.0
68,0.6387059296300003,0.63380945,1.0,0.70024193066077,0.7319343,1.0,0.8729616632531356,0.6716617,1.0,0.05144956424320757,0.52577674,0.0,12,12.088612,1.0,85.40649626547864,62.059578,1.0,12.977202614127023,8.530753,1.0,0.2222908879099128,0.31207708,1.0
69,0.5692565006226362,0.6863622,1.0,0.6100123711381483,0.66220826,0.0,0.0824715614133954,0.714915,0.0,0.35258173962656336,0.37275714,1.0,11,7.572051,0.0,97.48051409104433,74.79485,1.0,46.18079693132705,46.548855,1.0,0.2945447503827354,0.25548717,1.0
70,0.8243997113009214,0.8450424,1.0,0.6170370771278173,0.7442652,1.0,0.3023134929075548,0.3463161,1.0,0.2611200809515062,0.50558984,1.0,7,7.152859,1.0,19.87521015898775,55.675243,1.0,1.7275506753665046,4.0057445,1.0,0.22510628107965247,0.2947517,1.0
71,0.7898462833859147,0.8653379,1.0,0.6697557830304539,0.76229614,0.0,0.2828385859338657,0.33378473,1.0,0.38828319593400684,0.30595514,1.0,4,4.158845,1.0,67.62663979802278,69.4072,1.0,34.87960532740073,19.56787,0.0,0.04313480715021606,0.03794474,1.0
72,0.890125821502462,0.9170011,1.0,0.8319015683661886,0.6848413,1.0,0.3033505568969198,0.2897484,1.0,0.5492799364150504,0.5518149,1.0,13,13.007039,1.0,77.7228169109246,46.799484,1.0,1.4484507102413602,5.8236756,1.0,0.12265397158981914,0.21125725,1.0
73,0.8328391714558143,0.8172582,1.0,0.8569298423265189,0.6829031,1.0,0.06197102989595438,0.1849804,0.0,0.2976127423081405,0.5430566,1.0,13,13.065164,1.0,34.236226018717616,50.660275,1.0,1.3967939603128854,6.2565126,1.0,0.16611654347275287,0.19633666,1.0
74,0.9441660057717614,0.9329134,1.0,0.792975289267991,0.7472825,1.0,0.5140789039318954,0.50223374,1.0,0.8068256892870366,0.51310414,1.0,12,12.068886,1.0,53.08384191247605,48.98734,1.0,6.176327601540033,3.958896,1.0,0.2943413804348052,0.24320236,1.0
75,0.6389439712420908,0.734033,1.0,0.5257313875437244,0.6522012,1.0,0.9350464086954755,0.9359014,1.0,0.5368218126790677,0.91080153,0.0,5,4.393374,1.0,66.83817679977841,64.65037,1.0,9.288240106132347,13.834709,1.0,0.027130953291251397,0.03940638,1.0
76,0.6392246335048684,0.63929373,1.0,0.6582977257504474,0.73270077,1.0,0.8170593062058757,0.6663404,1.0,0.8517090432530766,0.54435563,1.0,13,13.081736,1.0,20.049550757768127,61.508507,0.0,1.1854251255508796,8.847293,0.0,0.3916782124387127,0.30630055,1.0
77,0.7677056695198048,0.75889343,1.0,0.5406690595644736,0.7483822,1.0,0.4617011561653488,0.4291495,1.0,0.03174189171513342,0.5614999,0.0,10,10.117606,1.0,60.692772427645245,62.813602,1.0,18.935173421526546,11.859215,1.0,0.43848011236274487,0.40735918,1.0
78,0.7070443447604722,0.73258424,1.0,0.7636228187153544,0.74430346,1.0,0.5151351759227041,0.57565117,1.0,0.1312245223917824,0.15634292,1.0,13,13.120629,1.0,88.15429265836697,45.732937,1.0,1.2844654843854708,1.5786736,1.0,0.03821856579809132,0.037737533,1.0
79,0.955392859507173,0.9448982,1.0,0.6563418350584718,0.7801298,1.0,0.06215400787290282,0.12726289,1.0,0.9310436458840498,0.61772007,1.0,6,6.171338,1.0,11.898403653178036,52.11146,0.0,12.991240523107647,13.204052,1.0,0.1027777114431713,0.19747478,1.0
80,0.9768892689923946,0.9660046,1.0,0.9808292595875898,0.9340643,1.0,0.3884373964059221,0.50737697,1.0,0.47059937647810635,0.43520415,1.0,11,11.004121,1.0,28.793606893853507,46.86789,1.0,1.0053754859316284,1.9363619,1.0,0.013502644016218179,0.033437748,0.0
81,0.9965857238340913,0.83717597,0.0,0.673316808926937,0.6980713,1.0,0.8406185871960673,0.49367955,1.0,0.5789632720620698,0.64390826,1.0,5,4.5222726,1.0,95.67354390286197,74.65013,1.0,34.03732102622145,36.001125,1.0,0.07601794884629734,0.08458234,1.0
82,0.7412491119090677,0.70110035,1.0,0.6141519283328807,0.7284674,1.0,0.018918573974081143,0.06545153,1.0,0.2037663990866353,0.3189523,1.0,5,4.8646665,1.0,11.432305375975826,54.594936,0.0,2.497840225153848,2.0941615,1.0,0.12410827739946415,0.11186099,1.0
83,0.7369174320114937,0.8276826,0.0,0.9913297441696924,0.7126283,0.0,0.06837441127511434,0.39599645,0.0,0.7378339953675049,0.19175914,0.0,12,12.139002,1.0,32.479646558340164,52.039978,1.0,1.219921084352759,11.012999,0.0,0.148485155230935,0.2295369,1.0
84,0.9453736419237269,0.88280284,1.0,0.7735891557618425,0.73504066,1.0,0.639562565482613,0.54542553,1.0,0.25305221459161964,0.52145946,1.0,7,7.232333,1.0,80.02598836957604,52.697723,1.0,7.26892348002222,10.556559,1.0,0.36349807360648373,0.26634315,1.0
85,0.8155452750846974,0.8002871,1.0,0.6814974210741636,0.6893565,1.0,0.35147612298588016,0.37848803,1.0,0.2950032002433641,0.55690855,1.0,9,9.030506,1.0,69.33687756362315,61.544186,1.0,2.3671392629463055,3.7007596,1.0,0.10814971655975464,0.11517893,1.0
86,0.627405483047627,0.82150584,1.0,0.8246821197625057,0.77163637,1.0,0.1585814609873366,0.40339038,1.0,0.26060773992940456,0.31492394,1.0,14,13.222939,0.0,68.1409349415325,66.10739,1.0,35.24527911195389,31.557178,1.0,0.12347849679008889,0.031449288,0.0
87,0.945848669892239,0.87755406,1.0,0.7367862195797821,0.7559514,1.0,0.5037081622614913,0.2773694,1.0,0.47809021038463506,0.4993082,1.0,10,8.025196,0.0,74.93687108100289,80.23066,1.0,21.187075649046346,19.190186,1.0,0.05104465254530628,0.04718116,1.0
88,0.6458036108422318,0.65853626,1.0,0.852530016342084,0.8175973,1.0,0.5058124735965949,0.48497015,1.0,0.5099518811629599,0.50460786,1.0,14,12.22051,0.0,75.73675183604314,67.325935,1.0,10.039048218115543,13.939767,1.0,0.07971659026672087,0.09313318,1.0
89,0.7402550133974796,0.7483388,1.0,0.7579874819410422,0.7246554,1.0,0.05789926331221118,0.15549402,1.0,0.34076710795253307,0.5116759,1.0,11,11.176152,1.0,36.204449394513375,50.637432,1.0,1.118960045618306,4.684095,1.0,0.3163333116811393,0.35496548,1.0
90,0.9742883543430536,0.9214446,1.0,0.9512977603247637,0.84308076,0.0,0.8108440755255185,0.69757813,0.0,0.17525803491409564,0.12884353,1.0,8,7.4460373,1.0,30.27555485696995,52.266876,1.0,1.6444349655959511,1.3904802,1.0,0.014352812493700837,0.015879361,1.0
91,0.9829535647187471,0.86123645,0.0,0.6433567226714512,0.7475071,0.0,0.10701415520076518,0.15560403,1.0,0.6291062963306783,0.8025741,0.0,9,7.9726267,0.0,58.26406230098595,48.847748,1.0,13.842332433362456,15.391158,1.0,0.06205445588004548,0.058888618,1.0
92,0.952704856430826,0.79938304,0.0,0.9453424647429043,0.7713882,1.0,0.5566011826120224,0.29310605,1.0,0.9895402142994911,0.59324473,0.0,16,15.817581,1.0,35.00460612900557,66.59712,1.0,31.76452116004235,16.644722,1.0,0.35148728651255323,0.42220643,1.0
93,0.768617149560209,0.7389177,1.0,0.825763598718972,0.7506018,1.0,0.4778678746188063,0.48229095,1.0,0.9408932700600595,0.556939,1.0,9,9.123146,1.0,38.04191158240958,63.325024,1.0,4.990155101199204,10.755859,1.0,0.39293124553357983,0.38031745,1.0
94,0.9071387527924325,0.75491637,1.0,0.9199303710091854,0.8288906,1.0,0.23460064745004838,0.45810753,1.0,0.07142078029943799,0.3916107,1.0,13,10.446221,0.0,67.62659495146164,62.12524,1.0,14.433085689200388,32.637215,0.0,0.015225811391496003,0.037601113,1.0
95,0.5435692915222505,0.6295417,1.0,0.7332571033893434,0.72479665,1.0,0.3387599536231599,0.67674536,1.0,0.43146489250397835,0.5569904,1.0,5,5.0361075,1.0,65.89337260349636,63.960648,1.0,1.6972815739437068,9.053961,1.0,0.3847596712747355,0.3085911,1.0
96,0.7833223377582149,0.8371237,1.0,0.8223517579097139,0.80952734,1.0,0.24050383127158792,0.40179902,1.0,0.24692885004550713,0.27193743,1.0,4,4.8150764,1.0,89.31485331966404,72.29047,1.0,35.370113150572365,39.201237,1.0,0.19204613976701965,0.20339459,1.0
97,0.5649381368177118,0.6253728,1.0,0.8635550734856723,0.72741514,1.0,0.879234798922778,0.6790819,1.0,0.1250201598206372,0.5208427,1.0,16,15.823678,1.0,44.323716889634554,39.10556,1.0,1.3021343194421462,1.977661,1.0,0.047407331960583,0.10193095,1.0
98,0.8257764901513437,0.7384352,1.0,0.726222016401949,0.74831384,1.0,0.5009697643046421,0.479205,1.0,0.8049143533865069,0.5672248,1.0,7,7.1734595,1.0,35.97381926884879,63.73031,1.0,5.5700627072910285,10.490814,1.0,0.46453175748970515,0.38511756,1.0
99,0.83321442374201,0.79460317,1.0,0.5166289912300772,0.6193994,1.0,0.5589393343923953,0.5468434,1.0,0.15178961828149407,0.6155452,1.0,9,9.15832,1.0,68.41829231902092,56.78248,1.0,6.365052155256132,8.86342,1.0,0.10708505178362576,0.11787634,1.0
100,0.8726488863647925,0.69485873,1.0,0.7951272976268423,0.80897117,1.0,0.8635653320343684,0.513655,1.0,0.38869016614219765,0.37904283,1.0,14,9.881619,1.0,55.57361234425186,62.04861,1.0,38.9353709658838,33.55117,1.0,0.016237126330237935,0.042359155,1.0
101,0.7796646320301557,0.80317485,1.0,0.8482336632847519,0.7705076,1.0,0.07116738879722129,0.038476057,1.0,0.329272287431419,0.5205359,1.0,16,15.445959,0.0,91.37284205217044,60.857857,1.0,2.0572304680182456,1.8333648,1.0,0.039335628510568814,0.030352468,1.0
102,0.8234773987630328,0.77197176,1.0,0.5594032560833584,0.76115066,1.0,0.534087685959419,0.44317636,1.0,0.40365998157009375,0.5879216,1.0,5,5.0463595,1.0,66.34775248081586,64.416405,1.0,32.509529116432105,13.6988535,1.0,0.2887817776789571,0.41390058,1.0
103,0.8078351407227493,0.85498875,1.0,0.8070022250715745,0.77654386,1.0,0.1342737622237824,0.4368597,1.0,0.732084456492402,0.6915153,1.0,10,9.938249,1.0,38.86406197791285,62.79075,1.0,48.077652548322376,42.90734,1.0,0.4849927631148759,0.41880175,1.0
104,0.9240016813466667,0.91293955,1.0,0.8157163927837658,0.76026565,1.0,0.6249148139799822,0.63260925,1.0,0.48282741164791676,0.5088513,1.0,10,9.974381,1.0,56.418433419219255,53.42811,1.0,1.3139480787979267,3.8451326,1.0,0.13563789512877827,0.21515895,1.0
105,0.7157994991978105,0.77731675,1.0,0.9643624594041249,0.75138944,1.0,0.23186092021179483,0.39699566,1.0,0.5330119443417392,0.59531415,1.0,16,15.8064,1.0,96.7627048102301,65.740875,1.0,3.673266918066011,13.863606,1.0,0.3569734470498937,0.40082586,1.0
106,0.7699250637512001,0.79986125,1.0,0.9544052267385347,0.8937108,1.0,0.41734980036251235,0.5098663,1.0,0.7425533067740002,0.690496,1.0,6,5.2321763,1.0,50.29774067090191,57.356827,1.0,5.774493438638879,7.986629,1.0,0.044937016005554664,0.06009398,1.0
107,0.5989435602311863,0.6922175,1.0,0.7861575450241254,0.8184125,1.0,0.7732174354920942,0.50384724,1.0,0.16333678589423462,0.38325915,1.0,13,9.706677,1.0,82.34124768447835,62.51564,1.0,48.902494877210614,33.285057,0.0,0.017204773732417297,0.039469134,1.0
108,0.9581178647246464,0.83331066,0.0,0.8203528146084129,0.8570684,1.0,0.7306464412564431,0.4884596,1.0,0.19438463710856713,0.23600431,1.0,4,4.2078357,1.0,81.77335781474761,49.2246,1.0,4.08946908990336,10.082505,0.0,0.025627340286981222,0.06448183,1.0
109,0.9755784554222642,0.96697456,1.0,0.8166251386669979,0.71964425,1.0,0.4059861886875725,0.34573877,1.0,0.4824950530965676,0.5531658,1.0,14,13.99615,1.0,11.565637688015894,48.549477,0.0,2.101239381781856,5.202252,1.0,0.23986059344371208,0.1431062,1.0
110,0.8805077433586759,0.8894733,1.0,0.6037330945701657,0.6040618,1.0,0.18197077461643063,0.33508942,1.0,0.3502647579176603,0.22664331,1.0,14,12.257088,0.0,77.47921873638109,73.44572,1.0,27.123403706696788,22.860418,1.0,0.05097337681079721,0.041331332,1.0
111,0.8192584337469409,0.7190242,1.0,0.6205873103162802,0.7018666,0.0,0.809270279060566,0.60970545,1.0,0.08775816214080423,0.26091954,1.0,8,6.5961494,0.0,59.73767883079756,64.616295,1.0,14.242454367248603,17.0948,1.0,0.011604930043144918,0.030598503,1.0
112,0.7471453529611976,0.74404323,1.0,0.9581318263922403,0.8135527,0.0,0.13156127246062332,0.18215604,1.0,0.03670478094255403,0.107394926,1.0,13,13.152043,1.0,10.777995370982001,58.742504,0.0,31.954772088652806,19.387976,1.0,0.4963366297738164,0.31567952,1.0
113,0.7599440202612534,0.73506653,1.0,0.6840534774505111,0.7091865,1.0,0.8205116878952987,0.7440678,1.0,0.3436619238323253,0.40157115,1.0,11,9.931691,0.0,53.08615187567078,66.38222,1.0,3.827522838044076,3.351507,1.0,0.019910351493498065,0.015550443,1.0
114,0.7175277440839624,0.66138023,1.0,0.5677753280769429,0.7237229,1.0,0.3424208652420063,0.2760429,1.0,0.5820805623891567,0.51196134,1.0,5,5.0757747,1.0,70.4127162336514,49.760857,1.0,14.48422341080337,3.1366005,0.0,0.2280665706148905,0.17584416,1.0
115,0.5006527838658349,0.70083946,0.0,0.8561182106320326,0.81329954,1.0,0.031250861378376626,0.52699775,0.0,0.05201918026823793,0.38654187,1.0,11,9.84618,1.0,77.38266114703384,63.38483,1.0,13.914796474562921,33.566513,1.0,0.05579103891693424,0.04216735,1.0
116,0.885998626915623,0.86148936,1.0,0.6705496882528108,0.68863106,1.0,0.14862184257640987,0.16366284,1.0,0.10669595770295426,0.5688111,1.0,8,8.204496,1.0,67.94384727235582,51.353207,1.0,5.603787550805972,6.2697616,1.0,0.17121036273533807,0.31541154,0.0
117,0.6075244707538302,0.6805527,1.0,0.820865765995139,0.74533486,1.0,0.6196248584623982,0.60468715,1.0,0.3000766884927051,0.5254222,1.0,8,8.130129,1.0,53.529499651042165,63.7613,1.0,8.798801560951548,9.078068,1.0,0.2300361845342492,0.3397875,1.0
118,0.718848455908836,0.85892826,1.0,0.7801856104348105,0.7722395,1.0,0.34503813224933944,0.4338205,1.0,0.3037820220296815,0.24501,1.0,7,6.5497026,1.0,93.7895733386538,71.905106,1.0,27.33921007719888,27.995533,1.0,0.03025892755949593,0.026573306,1.0
119,0.9764949403182588,0.84619415,1.0,0.627516668772768,0.6314297,1.0,0.4878597073480049,0.17975487,1.0,0.1476969076337381,0.33179286,1.0,10,8.609747,0.0,29.550867014052162,60.13174,1.0,15.695267111071171,10.849985,0.0,0.025882645053697646,0.015199002,0.0
120,0.9401089063074295,0.93657714,1.0,0.9417401201509701,0.9206761,1.0,0.4909199540174808,0.37358168,1.0,0.7543887603214254,0.6964359,1.0,6,5.286049,1.0,12.69701861926858,52.464314,0.0,19.439328912400256,9.587288,0.0,0.015372837411183215,0.018871136,1.0
121,0.5864149789893847,0.6654385,1.0,0.8170357479467371,0.8936346,1.0,0.05280348007095548,0.39147827,1.0,0.5014670197843109,0.3180421,1.0,5,4.299093,0.0,24.643126761011594,40.06171,1.0,49.39000224802194,22.36286,0.0,0.12443196403329204,0.050993256,1.0
122,0.6220369130726968,0.6660208,1.0,0.5836176975892949,0.75554895,1.0,0.2418853295418819,0.5625849,1.0,0.6948944254096817,0.48008892,1.0,9,9.119377,1.0,42.544585784378135,38.257015,1.0,2.27250499514719,2.8439496,1.0,0.203079471329884,0.16624783,1.0
123,0.868719882639488,0.8608937,1.0,0.8185488650366175,0.7724855,1.0,0.5688711581321617,0.6073703,1.0,0.10463136347075375,0.1407149,1.0,7,6.7045684,1.0,98.93362861427427,42.043606,0.0,5.248351273665227,5.2583284,1.0,0.08654519000857,0.080914825,1.0
124,0.7992692872802762,0.7819373,1.0,0.8828916359318246,0.7640448,1.0,0.5003862372292064,0.49073574,1.0,0.6020945557469508,0.4791109,1.0,15,15.130522,1.0,90.05135897170253,50.064655,1.0,2.3043664705750424,3.2958508,1.0,0.22177727995192512,0.21338676,1.0
125,0.6077962512531396,0.7089037,1.0,0.8365476909277183,0.7389354,1.0,0.2624588291061799,0.40018126,1.0,0.894617459776497,0.50823027,1.0,12,12.086502,1.0,75.8151557095236,40.748337,1.0,1.285225575651482,3.8975196,1.0,0.20847049505961038,0.3148692,1.0
126,0.7979419557751231,0.7070028,1.0,0.6156685195213965,0.79176843,0.0,0.7598006037950767,0.61767757,1.0,0.706272726132679,0.57361144,1.0,14,12.541802,0.0,54.845234633934496,32.828617,1.0,22.691271236188122,29.318422,1.0,0.013410060789375611,0.04045716,1.0
127,0.5958042229766998,0.72397596,1.0,0.9744463592487891,0.69981563,0.0,0.9281180615955694,0.9465394,1.0,0.9804555670694504,0.7550071,0.0,8,7.985805,1.0,94.3214700822244,60.430637,1.0,3.094105302653846,6.669946,0.0,0.03720996226620345,0.07833315,1.0
128,0.7667956152378091,0.6998117,1.0,0.8280877491779312,0.8378917,1.0,0.7621853491767154,0.49916258,1.0,0.3616459873245276,0.41239947,1.0,10,8.369199,0.0,23.111337251289434,53.26396,1.0,29.189187813537337,16.499268,1.0,0.12224167713270043,0.07020198,1.0
129,0.7202306375873897,0.75534654,1.0,0.8401987331547449,0.75162697,1.0,0.221131804421987,0.47957554,1.0,0.6696863257367092,0.5909972,1.0,4,4.2378254,1.0,42.463666412951106,64.802216,1.0,9.869593661303174,13.276419,1.0,0.411541796996709,0.40602273,1.0
130,0.5032995816333428,0.5764845,1.0,0.9298285834103585,0.7196894,1.0,0.5095822869932891,0.74674183,1.0,0.7070735238512126,0.4685372,1.0,13,13.053101,1.0,43.555006719751276,36.959415,1.0,1.305011289922084,1.8451449,1.0,0.04138139691819808,0.0751794,1.0
131,0.6850896409651113,0.7948536,1.0,0.740795759822551,0.73977333,1.0,0.5130456497769288,0.8048023,0.0,0.9412268594146853,0.88598883,1.0,6,5.2586865,1.0,93.88304740875982,74.77685,1.0,30.818887631167787,23.80301,1.0,0.1214045386944,0.08854157,1.0
132,0.5057850438886619,0.59612966,1.0,0.6725566908186157,0.72443956,1.0,0.9787751373389083,0.712505,1.0,0.09361540133585888,0.49452078,1.0,11,11.13999,1.0,59.631341987747405,37.319645,1.0,1.545822496848808,2.1870854,1.0,0.04473749430912982,0.11283438,1.0
133,0.9949061536283139,0.9876668,1.0,0.7184302167631793,0.7050398,1.0,0.6039303615667267,0.50787455,1.0,0.8016806894359523,0.6814129,1.0,10,10.153892,1.0,67.70114761571735,50.20332,1.0,11.083251691314395,11.010442,1.0,0.1113016693643933,0.11368357,1.0
134,0.8578886168219579,0.9160014,1.0,0.692674229842709,0.67863834,1.0,0.2218156146426662,0.4142721,1.0,0.41497074738921125,0.41865027,1.0,11,9.647144,1.0,75.64908051068942,42.301243,1.0,7.787193534097351,7.6756105,1.0,0.05075238483246573,0.035188854,1.0
135,0.918662327091238,0.7013659,1.0,0.8196353499558424,0.81923145,1.0,0.1335382379773533,0.5376902,1.0,0.12648258333729467,0.376103,1.0,6,9.686577,1.0,84.0537520967286,62.474655,1.0,45.10239390090251,33.494717,1.0,0.06593409878673977,0.042585876,1.0
136,0.6667383355210246,0.6725382,1.0,0.875324167598412,0.7152329,1.0,0.46739715007084137,0.45992097,1.0,0.42225111251622605,0.49996623,1.0,5,5.0092607,1.0,93.1158331935821,49.258755,1.0,2.290792996356227,3.710956,1.0,0.08613865707028757,0.10758327,1.0
137,0.8310786207401988,0.8779981,1.0,0.5784599291971797,0.54899985,1.0,0.4762497989865391,0.3273515,1.0,0.9336890870996328,0.57775205,1.0,7,8.835781,1.0,81.62377898232495,74.00956,1.0,4.220553136638046,4.284501,1.0,0.011568216011775862,0.014809464,1.0
138,0.7355835839571957,0.78714544,1.0,0.9866445396906782,0.90721357,0.0,0.7361991734866206,0.7703575,1.0,0.8280549036222047,0.8638561,1.0,5,4.9164705,1.0,89.26130791856906,54.703278,1.0,7.605270023857337,10.458533,1.0,0.045492673048911136,0.05278122,1.0
139,0.9219145909069839,0.7713856,1.0,0.9663595480363057,0.81270057,1.0,0.5404836905698667,0.45548615,1.0,0.4611141801888893,0.3748503,1.0,14,11.84212,0.0,23.241927522647373,63.97192,0.0,37.9069026298843,32.101837,1.0,0.01581867060045562,0.03496323,1.0
140,0.7301280462321712,0.8025382,1.0,0.9120827649993593,0.8898383,1.0,0.6926508646688001,0.82366955,0.0,0.08396431239738966,0.062312517,1.0,12,12.379377,1.0,74.64709389317999,59.793045,1.0,7.516196679441031,11.039672,1.0,0.10805900534856287,0.15108778,1.0
141,0.5121505742511949,0.6223574,0.0,0.7801633195405131,0.72495514,1.0,0.508471792669957,0.77075523,1.0,0.8880533034484792,0.48770136,1.0,5,5.0253797,1.0,42.966650600699516,41.580696,1.0,1.2235695620624494,1.4827262,1.0,0.01667716811736161,0.05357425,0.0
142,0.9801747064980132,0.6621053,0.0,0.5195030857229805,0.70999926,1.0,0.9669576241183784,0.48365745,0.0,0.30110692410231155,0.42779273,1.0,6,7.9647737,1.0,78.99517791588708,52.353374,1.0,27.082640051993756,28.528196,1.0,0.02502715167264738,0.06122968,1.0
143,0.5996282007551874,0.58825266,1.0,0.9026190905359337,0.71245664,1.0,0.3478549535566764,0.4673511,1.0,0.02293717121128136,0.51221734,0.0,6,6.0213804,1.0,80.31126695809479,38.777927,1.0,1.8901627164252537,1.5263907,1.0,0.08709083144096433,0.0761998,1.0
144,0.6061214774532173,0.62266064,1.0,0.6469325938747754,0.69205713,1.0,0.8623942118978638,0.7893458,1.0,0.3295706702470914,0.39947128,1.0,15,13.023853,0.0,72.93961773173675,52.91164,1.0,11.533528941387601,15.904742,1.0,0.01844187696155201,0.020307565,1.0
145,0.9719110899882059,0.9530279,1.0,0.7535107165696752,0.821098,1.0,0.06254579349155553,0.16339548,1.0,0.7480809093212394,0.67045987,1.0,16,15.220763,0.0,95.53924024101724,87.60328,1.0,6.185659625219486,7.0104766,1.0,0.010541029021674695,0.018026618,1.0
146,0.5784555220115533,0.78595,1.0,0.5464561802380792,0.81708485,0.0,0.13256639879587107,0.43575898,1.0,0.18392842483675664,0.37314656,1.0,16,13.927369,0.0,45.758172266422534,63.872814,1.0,43.316313770302436,31.075329,1.0,0.012663845924619346,0.036468327,1.0
147,0.9428206170130972,0.9262892,1.0,0.5961349140466512,0.5878962,1.0,0.5499942327462364,0.5582224,1.0,0.8812630184747223,0.6113025,1.0,9,9.160395,1.0,66.4721606994395,42.125484,1.0,2.509341654429645,1.851437,1.0,0.024044741012540297,0.020015968,1.0
148,0.5880669934358027,0.6475957,0.0,0.5278955244596504,0.61656755,1.0,0.7197344850242015,0.8217213,1.0,0.738733524053926,0.58612466,1.0,8,6.6191926,0.0,12.449699141453367,56.370518,0.0,5.491620770687674,4.5657177,1.0,0.011190980585753256,0.016865782,0.0
