case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
188,0.9633111115365517,0.91635484,1.0,0.8646018274038438,0.93823147,1.0,0.3558291050728217,0.3631714,1.0,0.21653240382435657,0.23036453,1.0,5,5.0453076,1.0,86.23102406496356,51.619923,1.0,3.9270950152039994,5.6216545,1.0,0.035163828915771675,0.042364877,1.0
189,0.7049734363168122,0.6492826,1.0,0.7851223482441577,0.8198225,1.0,0.8387020359484507,0.5452477,1.0,0.6466550379606956,0.6517298,1.0,16,14.505688,0.0,62.7765265737134,55.603905,1.0,15.92549230897516,17.817339,1.0,0.09055307386458239,0.094311155,1.0
190,0.8117315973831607,0.7890873,1.0,0.5236326004364761,0.64581215,1.0,0.6808295079438617,0.6555547,1.0,0.33571627054898845,0.6371599,1.0,13,12.450457,1.0,14.749221460927973,35.652584,1.0,2.06661686617126,2.1510844,1.0,0.035871217747475814,0.037221894,1.0
191,0.6522862523597653,0.68333775,1.0,0.8932510471440964,0.8067846,1.0,0.2950424273160479,0.51207864,1.0,0.03978776423545338,0.38984913,0.0,13,9.63856,1.0,71.85735528016174,62.21331,1.0,30.626057899114016,33.50081,1.0,0.011236892791845891,0.040264126,0.0
192,0.9739370197074271,0.9321855,1.0,0.6678911787157029,0.66728413,1.0,0.4388779894754212,0.24349898,1.0,0.3344470528379102,0.2628667,1.0,12,10.847661,0.0,80.62684835711558,77.3241,1.0,9.566271809641712,11.4962845,1.0,0.017604117348583085,0.02223398,1.0
193,0.6280729296375576,0.6646104,0.0,0.5593771578596847,0.59380925,1.0,0.13632267419472366,0.30486798,1.0,0.7885110991098552,0.5261256,1.0,12,9.742912,0.0,20.762043813965416,42.476406,1.0,12.457775733847171,12.989317,1.0,0.05838226817139161,0.06298884,1.0
194,0.868882197029295,0.88365614,1.0,0.8357932687056799,0.6981106,1.0,0.22488600907434475,0.2596897,1.0,0.8357534111375577,0.63023114,1.0,11,10.983291,1.0,46.42970755791318,51.835503,1.0,4.117684019089413,9.245635,1.0,0.12764171671753394,0.15705922,1.0
195,0.565748590110579,0.57140356,1.0,0.7484497919000903,0.80230623,1.0,0.7247468761794975,0.21585208,0.0,0.19360392582239638,0.2882846,1.0,7,6.2560234,1.0,92.9078980083409,70.408264,1.0,16.194962062317124,20.037195,1.0,0.02615308713096905,0.025551558,1.0
196,0.520755573570284,0.5316848,1.0,0.9698979530959337,0.8363779,0.0,0.5156086709058791,0.8053675,0.0,0.7667893244206834,0.47527087,1.0,12,11.294995,1.0,94.3775474758438,73.32903,1.0,1.1484663873646166,1.4896559,0.0,0.011357363275778007,0.013275217,1.0
197,0.611432980359615,0.61662364,1.0,0.8890541675302535,0.88011277,1.0,0.5446733311006806,0.25563198,1.0,0.2005800274332572,0.14079939,1.0,9,8.346034,1.0,48.271339901314654,53.46222,1.0,13.643873878491293,12.551651,1.0,0.05522820205848249,0.044878982,1.0
198,0.9064069302147285,0.9142222,1.0,0.8618833007086253,0.8575972,1.0,0.03606531357626741,0.37783912,0.0,0.6183234153299106,0.5099493,0.0,9,7.84658,0.0,65.81948740959028,69.19837,1.0,9.321494423909208,10.79332,1.0,0.023013736576196375,0.033859797,1.0
199,0.9944599556145318,0.9888258,1.0,0.581966994005809,0.5879059,1.0,0.2945994711428994,0.5772338,0.0,0.9561775182588615,0.69097525,1.0,6,5.7733946,1.0,25.06065822239276,62.184666,1.0,4.943365098802099,6.72266,1.0,0.025385601006280827,0.04593402,1.0
