case,gt_q_d,mu_q_d,hit90_q_d,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp
110,0.8075355977299494,0.78597945,1.0,0.31733594916327423,0.24991064,1.0,0.5979428780537018,0.6018442,1.0,10,10.109696,1.0,32.21253687636977,22.407278,1.0
111,0.8185287817251313,0.80435693,1.0,0.9327615022518374,0.92282665,1.0,0.6961786403213541,0.6900724,1.0,15,15.269666,1.0,87.36973289314254,75.71695,1.0
112,0.9521330640655454,0.94301593,1.0,0.34988578595389774,0.2933847,1.0,0.8012711538945727,0.77496874,1.0,5,5.145953,1.0,50.71960500044014,58.04167,1.0
113,0.9024692712741376,0.85927993,1.0,0.19214921998862622,0.20050532,1.0,0.959386710881857,0.9640596,1.0,14,13.677426,1.0,17.141875891345403,16.002472,1.0
114,0.9502729570385946,0.91652757,1.0,0.5099432244773335,0.22683552,0.0,0.8502624589375742,0.8297528,1.0,7,7.6442146,1.0,81.85078696658417,80.203094,1.0
115,0.5035028279139553,0.5471631,0.0,0.5027270545117639,0.49720916,1.0,0.5633075423611804,0.53928035,1.0,5,5.106414,1.0,16.037797132081383,16.943441,1.0
116,0.9925960536231782,0.9911597,1.0,0.12930126568576106,0.1514295,1.0,0.5143973667732078,0.5457359,1.0,4,4.5131497,0.0,84.54277556830867,59.689323,1.0
117,0.7347842268871498,0.72486633,1.0,0.8832835563267903,0.88557154,1.0,0.752844020975088,0.7737361,1.0,6,6.103169,1.0,99.63539670012904,93.21158,0.0
118,0.6145945292570085,0.6958585,1.0,0.8985224009237491,0.94567317,1.0,0.9692217533993566,0.96993494,1.0,8,7.6944623,1.0,71.15374686871014,74.0867,1.0
119,0.5285288390746383,0.5485145,1.0,0.7401600015125482,0.6222858,1.0,0.7860587676146602,0.78555983,1.0,5,5.3381677,1.0,45.45395366110236,47.06,1.0
120,0.67654485886868,0.68474436,1.0,0.5168545859134726,0.5268532,1.0,0.542099005047947,0.5178415,1.0,13,12.978671,1.0,41.31655812770369,39.227665,1.0
121,0.5931855139738613,0.61079746,1.0,0.5537485456678878,0.6126841,1.0,0.9198406415242477,0.94404894,1.0,10,9.843007,1.0,52.35871714322473,51.732197,1.0
122,0.9167972673014393,0.9270097,1.0,0.8916993240437062,0.8906608,1.0,0.864677011942433,0.84125376,1.0,11,11.325579,1.0,23.838004842743466,21.463367,1.0
123,0.9195664702054904,0.9118369,1.0,0.9167665521387431,0.92633754,0.0,0.8326439415599005,0.8320903,1.0,12,12.277258,1.0,88.95735459772345,82.53289,1.0
124,0.9684453020348296,0.81285524,0.0,0.7354690711102215,0.4064551,0.0,0.9794474828867872,0.9790559,1.0,16,15.478328,0.0,49.60334878513141,50.843,1.0
125,0.6124551074043401,0.6191947,1.0,0.15511537446546908,0.1894559,1.0,0.5053352363901467,0.5221587,1.0,15,15.086516,1.0,99.71094947057115,75.19697,0.0
126,0.8837532928275849,0.88307285,1.0,0.17303246393338934,0.20959118,1.0,0.5427386148473483,0.5281422,1.0,6,6.227679,1.0,18.91862360939085,50.543373,1.0
127,0.8257964869331424,0.82090235,1.0,0.8286345481274314,0.8450757,1.0,0.640961338545433,0.6422207,1.0,9,8.978279,1.0,77.69965897837554,76.375595,1.0
128,0.7784076783686492,0.7588689,1.0,0.9514682398946179,0.9459628,1.0,0.6878611515667401,0.67433923,1.0,4,4.59274,0.0,80.43253960736348,75.88345,1.0
129,0.8210348378545926,0.8203153,1.0,0.8811311425161699,0.88090986,1.0,0.5227728943462147,0.52624345,1.0,14,14.147614,1.0,16.264327701762575,30.819403,1.0
130,0.7154696863851111,0.6852091,1.0,0.9608376628721877,0.75908166,1.0,0.9965129905390595,0.98814577,1.0,8,8.329776,1.0,25.392911836723194,19.97964,0.0
131,0.6373448778293027,0.6534182,1.0,0.8862454706335936,0.8694259,1.0,0.9070117436510335,0.9067351,1.0,6,6.3492227,1.0,91.7183017339488,79.66469,1.0
